source,target,count
JET SPEED,short,2
C-GJKI,short,2
CONAIR-CANADA,short,1
SILVER ARROWS,long,2
AIR ROYAL,medium,1
BLACKBIRD,short,1
BLACKBIRD,medium,2
BOEING,short,4
CZECH AIR FORCE,short,1
CZECH AIR FORCE,long,1
PENINSULA,short,3
TUNAIR,short,1
CREE,medium,1
CORSAIR,medium,1
Encore,long,1
GERMAN AIR FORCE,medium,1
short,evening,21850
long,evening,3461
medium,evening,5063
short,night,9582
long,night,4834
medium,night,2604
long,morning,5523
short,morning,39855
medium,morning,8230
short,afternoon,42230
medium,afternoon,9115
long,afternoon,1712
evening,International,20799
evening,Quebec,2068
evening,Canada,7507
night,Quebec,925
night,International,12010
night,Canada,4085
morning,International,38068
morning,Quebec,4449
morning,Canada,11091
afternoon,International,36969
afternoon,Canada,11523
afternoon,Quebec,4565
