,code,type,company
121,C-FDTP,L2T,926724 Ontario Ltd.
122,C-FEAI,L2T,Air Inuit Ltd. Air Inuit Ltee
123,C-FEDG,L2J,Skyservice Business Aviation Inc./skyservice Aviation D'affaires Inc.
124,C-FEIQ,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
125,C-FEIX,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
126,C-FEJA,L2J,Jazz Aviation Lp
127,C-FEJB,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
128,C-FEJC,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
129,C-FEJD,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
130,C-FEJF,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
131,C-FEJL,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
132,C-FEJP,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
133,C-FEJY,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
134,C-FEKD,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
135,C-FEKH,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
136,C-FEKI,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
137,C-FEKJ,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
138,C-FEKS,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
139,C-FENJ,L2T,Westjet Encore Ltd.
140,C-FENO,L2T,Westjet Encore Ltd.
141,C-FENU,L2T,Westjet Encore Ltd.
142,C-FENY,L2T,Westjet Encore Ltd.
143,C-FEWJ,L2J,Westjet
144,C-FEXF,L1T,Morningstar Air Express Inc.
145,C-FEXO,L1T,Morningstar Air Express Inc.
146,C-FEXX,L1T,Morningstar Air Express Inc.
147,C-FFAL,L2J,Glencore Canada Corporation
148,C-FFBC,L2J,Aviation Cmp Inc.
149,C-FFBE,L2J,Chartright Air Inc.
150,C-FFCD,L2J,I.M.P. Group Limited (Execaire)
151,C-FFEL,L2J,Flair Airlines Ltd
152,C-FFIJ,L2J,Cffi Ventures Inc.
153,C-FFIP,L2J,Cffi Ventures Inc.
154,C-FFJA,L2J,Jazz Aviation Lp
155,C-FFNC,L2J,Bradley Air Services Limited
156,C-FFNE,L2J,Bradley Air Services Limited
157,C-FFNF,L2J,Bradley Air Services Limited
158,C-FFNM,L2J,Bradley Air Services Limited
159,C-FFPH,L2J,Sunwing Airlines Inc.
160,C-FFSS,L2T,Thunder Airlines Limited
161,C-FFTR,L2J,Chrono Aviation Inc.
162,C-FFTT,L1T,Ricardo Pascoe
163,C-FFTU,L1P,Waterloo-wellington Flying Club
164,C-FFXM,H1T,Estrie Hélicoptères Inc.
165,C-FFYG,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
166,C-FFZM,L1P,John A. Kenny
167,C-FGAJ,L2J,Cargojet Airways Ltd.
168,C-FGDT,L2J,Air Canada
169,C-FGDX,L2J,Air Canada
170,C-FGDZ,L2J,Air Canada
171,C-FGEI,L2J,Air Canada
172,C-FGEO,L2J,Air Canada
173,C-FGFL,L1T,Chrono Aviation Inc.
174,C-FGFZ,L2J,Air Canada
175,C-FGGC,L2T,Shoreland Transport Inc.
176,C-FGGE,L2T,Chartright Air Inc.
177,C-FGHZ,L2J,Air Canada
178,C-FGJI,L2J,Air Canada
179,C-FGKH,L2J,Air Canada
180,C-FGKJ,L2J,Cargojet Airways Ltd.
181,C-FGKN,L2J,Air Canada
182,C-FGKP,L2J,Air Canada
183,C-FGKS,L2T,Mainstream Distribution Inc
184,C-FGKZ,L2J,Air Canada
185,C-FGMQ,L1T,"Government Of Canada, Royal Canadian Mounted Police"
186,C-FGRI,L1P,2141409 Ontario Inc.
187,C-FGRP,L2T,Jazz Aviation Lp
188,C-FGSJ,L2J,Cargojet Airways Ltd.
189,C-FGWA,L2T,The Craig Evan Corporation
190,C-FGWJ,L2J,Westjet
191,C-FGXG,L2T,"Government Of Canada, Department Of Transport"
192,C-FGXH,L2T,"Government Of Canada, Department Of Transport"
193,C-FGXJ,L2T,"Government Of Canada, Department Of Transport"
194,C-FGXL,L2T,"Government Of Canada, Department Of Transport"
195,C-FGXO,L2T,"Government Of Canada, Department Of Transport"
196,C-FGXS,L2T,"Government Of Canada, Department Of Transport"
197,C-FHCE,L1T,1769856 Ontario Inc.
198,C-FHCW,L2J,Les Investissements Nolinor Inc.
199,C-FHEN,L2T,Westjet Encore Ltd.
200,C-FHNM,L2T,Les Investissements Nolinor Inc.
201,C-FHSP,L2T,Pacific Sky Aviation Inc.
202,C-FHTH,L1T,Classic Wings Inc.
203,C-FIAI,L2T,Air Inuit Ltd. Air Inuit Ltee
204,C-FIAS,L2J,Airsprint Inc.
205,C-FIBR,L2T,Skyservice Business Aviation Inc./skyservice Aviation D'affaires Inc.
206,C-FIBW,L2J,Westjet
207,C-FIJA,L2J,Jazz Aviation Lp
208,C-FIOV,L2J,Chartright Air Inc.
209,C-FIPC,L1T,Soucy Aviation Inc.
210,C-FIPN,L2J,1867829 Alberta Ltd
211,C-FIPP,L2J,"Queen Victoria Air Limited Partnership 1, By Its General Partner, Queen Victoria Air Inc."
212,C-FISO,L1P,Skyservice Business Aviation Inc./skyservice Aviation D'affaires Inc.
213,C-FITU,L2J,Air Canada
214,C-FITW,L2J,Air Canada
215,C-FITZ,H1P,Tremlease Leasing Inc.
216,C-FIUA,L2J,Air Canada
217,C-FIUF,L2J,Air Canada
218,C-FIUJ,L2J,Air Canada
219,C-FIUL,L2J,Air Canada
220,C-FIUR,L2J,Air Canada
221,C-FIUV,L2J,Air Canada
222,C-FIUW,L2J,Air Canada
223,C-FIVK,L2J,Air Canada
224,C-FIVM,L2J,Air Canada
225,C-FIVQ,L2J,Air Canada
226,C-FIVR,L2J,Air Canada
227,C-FIVS,L2J,Air Canada
228,C-FIVW,L2J,Air Canada
229,C-FIVX,L2J,Air Canada
230,C-FIWE,L2T,Westjet Encore Ltd.
231,C-FIWZ,L1T,10613592 Canada Inc.
232,C-FJAS,L2J,Airsprint Inc.
233,C-FJBO,L2J,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.
234,C-FJCZ,L2J,"Government Of Canada, Department Of Transport"
235,C-FJDQ,L2T,Max Aviation Inc.
236,C-FJEA,L2T,Buffalo Airways Ltd
237,C-FJFR,L2T,Air Inuit Ltd. Air Inuit Ltee
238,C-FJIC,L2J,PAL Airlines Ltd.
239,C-FJJZ,L2J,Jazz Aviation Lp
240,C-FJNX,L2J,Air Canada
241,C-FJOK,L2J,Air Canada Rouge Lp
242,C-FJOL,L2J,Aviation Jolina S.E.C.
243,C-FJOU,L2J,Air Canada Rouge Lp
244,C-FJQD,L2J,Air Canada Rouge Lp
245,C-FJQH,L2J,Air Canada Rouge Lp
246,C-FJQL,L2J,Air Canada Rouge Lp
247,C-FJRX,L2J,I.M.P. Group Limited (Execaire)
248,C-FJVE,L2J,Sunwing Airlines Inc.
249,C-FJWE,L2T,Westjet Encore Ltd.
250,C-FJZD,L2J,Jazz Aviation Lp
251,C-FJZL,L2J,Jazz Aviation Lp
252,C-FJZN,L1P,Air Saguenay
253,C-FJZS,L2J,Air Canada
254,C-FKAJ,L2J,Cargojet Airways Ltd.
255,C-FKAU,L2J,Air Canada
256,C-FKAZ,L1T,102662 Canada Inc.
257,C-FKCA,L1T,Cameron Air Service Ltd
258,C-FKCE,L2J,"Government Of Canada, Department Of Transport"
259,C-FKCJ,L2J,Cargojet Airways Ltd.
260,C-FKGE,L1T,Kudlik Aviation Inc.
261,C-FKHJ,L2J,Chartright Air Inc.
262,C-FKIW,L2J,Westjet
263,C-FKJZ,L2J,Jazz Aviation Lp
264,C-FKLB,L2J,"Government Of Canada, Department Of Transport"
265,C-FKMG,L2T,Air Inuit Ltd. Air Inuit Ltee
266,C-FKOJ,L2J,Air Canada
267,C-FKPT,L2J,Air Canada
268,C-FKPX,L1T,Panorama Fixed Wings Ltd.
269,C-FKRF,L2J,Westjet
270,C-FKRR,L1T,888676 Alberta Inc
271,C-FKSL,L1T,Air Bravo Corp.
272,C-FKSV,L2J,Air Canada
273,C-FKWE,L2T,Westjet Encore Ltd.
274,C-FKWJ,L2J,Westjet
275,C-FKWS,L2J,Westjet
276,C-FLAJ,L2J,Cargojet Airways Ltd.
277,C-FLAS,L2J,Airsprint Inc.
278,C-FLAV,L2J,I.M.P. Group Limited (Execaire)
279,C-FLBI,H1P,Québec Hélicoptères Inc./Quebec Helicopters Inc.
280,C-FLDD,L2J,Lid Brokerage & Realty Co. (1977) Ltd.
281,C-FLDK,H1P,Trevor W Hicks
282,C-FLEJ,L2J,Flair Airlines Ltd
283,C-FLFD,H2T,Canadian Helicopters Limited - Hélicoptères Canadiens Limitée
284,C-FLJZ,L2J,Jazz Aviation Lp
285,C-FLKC,L2J,Flair Airlines Ltd
286,C-FLKI,L2J,Flair Airlines Ltd
287,C-FLKJ,L2J,Flair Airlines Ltd
288,C-FLKX,L2J,Air Canada
289,C-FLKY,L2J,2106701 Ontario Inc (novajet)
290,C-FLOX,L2J,Flightpath Charter Airways Inc.
291,C-FLPB,L2J,Chartright Air Inc.
292,C-FLQY,L2T,Porter Airlines Inc.
293,C-FLSW,L2J,Sunwing Airlines Inc.
294,C-FLWJ,L2J,Westjet
295,C-FLZA,L2J,"Government Of Canada, Department Of Transport"
296,C-FMAI,L2J,Morningstar Air Express Inc.
297,C-FMDF,L1T,David G. Fountain
298,C-FMDO,L1T,Promanex Inc.
299,C-FMDW,L2T,Jazz Aviation Lp
300,C-FMEK,L2J,Morningstar Air Express Inc.
301,C-FMEP,L2J,Morningstar Air Express Inc.
302,C-FMEQ,L2J,Morningstar Air Express Inc.
303,C-FMEU,L2J,Morningstar Air Express Inc.
304,C-FMFG,L2J,Morningstar Air Express Inc.
305,C-FMFL,L3J,Mccain Foods Limited
306,C-FMFM,L2J,"Government Of Canada, Department Of Transport"
307,C-FMFX,L2T,"Allied Wings Limited Partnership, By Its General Partner, Allied Wings Project Holdings Inc"
308,C-FMGP,L2T,PAL Airlines Ltd.
309,C-FMHA,L2J,Air Partners Corp.
310,C-FMHD,L2T,Aviation Cmp Inc.
311,C-FMIJ,L2J,Cargojet Airways Ltd.
312,C-FMIX,L2J,Sunwest Aviation Ltd.
313,C-FMOC,L2J,Morningstar Air Express Inc.
314,C-FMPN,L2J,Morningstar Partners Ltd. (aurora Jet Partners)
315,C-FMSX,L2J,Air Canada
316,C-FMUN,L2T,PAL Airlines Ltd.
317,C-FMWJ,L2J,Westjet
318,C-FMXA,L2J,Sunwing Airlines Inc.
319,C-FMYB,L1P,Tri-city Aero Maintenance Inc.
320,C-FNAI,L2J,Air Canada
321,C-FNAS,H1T,Great Slave Helicopters Ltd.
322,C-FNAX,L2J,Westjet
323,C-FNDF,L2J,Kal Aviation Group Inc.
324,C-FNEN,L2T,Westjet Encore Ltd.
325,C-FNFS,L2J,Rm Aviation Inc.
326,C-FNJZ,L2J,Jazz Aviation Lp
327,C-FNND,L2J,Air Canada
328,C-FNNH,L2J,Air Canada
329,C-FNNQ,L2J,Air Canada
330,C-FNNU,L2J,Air Canada
331,C-FNNW,L2J,Air Canada
332,C-FNOE,L2J,Air Canada
333,C-FNOG,L2J,Air Canada
334,C-FNOH,L2J,Air Canada
335,C-FNOI,L2J,Air Canada
336,C-FNRC,L2T,"Government Of Canada, National Research Council"
337,C-FNVU,L2J,Air Canada
338,C-FNVV,L2J,Air Canada
339,C-FNWD,L2J,Westjet
340,C-FNZO,H1T,Guay Inc.
341,C-FOAI,L2T,Air Inuit Ltd. Air Inuit Ltee
342,C-FOEN,L2T,Westjet Encore Ltd.
343,C-FOIJ,L2J,Eagle Copters Ltd.
344,C-FOJZ,L2J,Jazz Aviation Lp
345,C-FOPD,L1T,"Province Of Ontario, Ministry Of Community Safety And Correctional Services"
346,C-FORB,L2J,Chartright Air Inc.
347,C-FOST,L2T,Chartright Air Inc.
348,C-FOUH,L1P,0827259 Bc Ltd
349,C-FOUU,L1P,Alain Boucher
350,C-FOWE,L2T,Westjet Encore Ltd.
