,airport,lon,lat,coutry,sub
112,KPVC,-70.2207222222222,42.0722777777778,US,Massachusetts
113,KFZY,-76.3880555555556,43.3507777777778,US,New York
114,KPIT,-80.2326944444444,40.4914166666667,US,Pennsylvania
115,CTA4,-79.4180984497,47.4491996765,CA,Quebec
116,K55Y,-91.830095,43.815825,US,Minnesota
117,KWHP,-118.413433055556,34.2593252777778,US,California
118,PN66,-79.3636488888889,40.4256233333333,US,Pennsylvania
119,KLNA,-80.0850646111111,26.5930555555556,US,Florida
120,2MD3,-77.3453333333333,39.229,US,Maryland
121,KBNA,-86.6781805555556,36.124475,US,Tennessee
122,78MI,-83.3035413888889,42.0405994444444,US,Michigan
123,MDMA,-68.799099,18.501933,DO,La Altagracia
124,MMSM,-99.0164031982,19.7553005219,MX,Mexico
125,KGVL,-83.8302261111111,34.2726263888889,US,Georgia
126,EETN,24.8327999115,59.4132995605,EE,Harjumaa
127,CRE3,-80.6983566284,43.0643730519,CA,Ontario
128,UUWW,37.2615013123,55.5914993286,RU,Moscow
129,MA72,,,,
130,LFHN,5.8061099052,46.1241989136,FR,Auvergne-Rhone-Alpes
131,KLNN,-81.38975,41.6840277777778,US,Ohio
132,KBTL,-85.2500889444444,42.3064728055556,US,Michigan
133,KSDC,-77.1194638888889,43.2345975,US,New York
134,EDDF,8.543129921,50.0264015198,DE,Hesse
135,KHYI,-97.863,29.89275,US,Texas
136,KHWV,-72.8669072222222,40.8219541666667,US,New York
137,2NH5,-72.4016666666667,42.9902777777778,US,New Hampshire
138,KSDF,-85.7364936111111,38.174085,US,Kentucky
139,EDGS,8.0829696655,50.707698822,DE,Nordrhein-Westfalen
140,LFRZ,-2.1491799355,47.3121986389,FR,Pays-de-la-Loire
141,YMML,144.8430023193,-37.6733016968,AU,Victoria
142,KSEE,-116.972444444444,32.8262222222222,US,California
143,KBOI,-116.222861111111,43.5643611111111,US,Idaho
144,KAKH,-81.1498758333333,35.2026230555556,US,North Carolina
145,K4J6,,,,
146,CSB5,-64.5766983032,46.254699707,CA,New Brunswick
147, NULL,,,,
148, CYND,,,,
149,53II,-84.8407958333333,41.0731044444444,US,Indiana
150,PA20,,,,
151,KOMA,-95.8940555555556,41.3031666666667,US,Nebraska
152,UKKM,30.1919002533,50.6035003662,UA,Kyiv
153,KJZP,-84.4572222222222,34.4534722222222,US,Georgia
154,KCLE,-81.8546911111111,41.4094069444444,US,Ohio
155,KPSP,-116.506694444444,33.8296666666667,US,California
156,KDPA,-88.247995,41.9070530555556,US,Illinois
157,LFPB,2.4413900375,48.9693984985,FR,Ile-de-France
158,DAAX,,,,
