,airport,lon,lat,coutry,sub
495,6NJ9,-75.3746352777778,39.7917797222222,US,New Jersey
496,LCLK,33.6249008179,34.8750991821,CY,Larnaka
497,CSH5,-71.5361022949,46.1260986328,CA,Quebec
498,KCRG,-81.5144444444445,30.3363333333333,US,Florida
499,VA16,-77.4844338888889,38.8792788888889,US,Virginia
500,KBLM,-74.1245555555555,40.1867777777778,US,New Jersey
501,KGPM,-97.0469166666667,32.6987777777778,US,Texas
502,KLZU,-83.9623638888889,33.9780919444444,US,Georgia
503,EGJB,-2.6019699574,49.4350013733,GG,Forest
504,CYYZ,-79.6305999756,43.6772003174,CA,Ontario
505,21NH,-70.9352777777778,42.9169444444444,US,New Hampshire
506,KLAX,-118.408048611111,33.9424963888889,US,California
507,VOMM,80.1692962646,12.9900054932,IN,Tamil-Nadu
508,58KY,-85.3325555555556,38.1216583333333,US,Kentucky
509,04FA,-80.5150572222222,25.5587191666667,US,Florida
510,69TA,-97.5252713888889,27.6550316666667,US,Texas
511,KGFL,-73.6103055555556,43.3412222222222,US,New York
512,IS59,-88.9241666666667,42.1338888888889,US,Illinois
513,KSEA,-122.311777777778,47.4498888888889,US,Washington
514,CTQ2,-72.0350036621,45.0344009399,CA,Vermont
515,CSE3,-73.452796936,46.1094017029,CA,Quebec
516,KFUL,-117.979784166667,33.8720141666667,US,California
517,NY73,,,,
518,VT31,-72.44399,44.1111741666667,US,Vermont
519,CYQM,-64.6785964966,46.1122016907,CA,New Brunswick
520,EDDG,7.6848301888,52.134601593,DE,Nordrhein-Westfalen
521,CTR6,-71.8264007568,46.7835998535,CA,Quebec
522,KHTW,-82.4948333333333,38.4191111111111,US,Ohio
523,MMJC,-99.2888031006,19.5748004913,MX,Mexico
524,KMIV,-75.0722222222222,39.3678055555556,US,New Jersey
525,5CT5,-73.2162222222222,41.6323055555556,US,Connecticut
526,SKMA,-74.2754,4.7278,CO,Cundinamarca
527,CND4,-78.64,45.1108333333,CA,Ontario
528,CPG4,-80.5121994019,43.5918998718,CA,Ontario
529,KGON,-72.0451388888889,41.3300555555556,US,Connecticut
530,KEEN,-72.2707777777778,42.8983888888889,US,New Hampshire
531,KEDC,-97.5663935,30.3974931388889,US,Texas
532,LFPO,2.3594400883,48.7252998352,FR,Ile-de-France
533,LFBP,-0.41861099,43.3800010681,FR,Nouvelle-Aquitaine
534,LEIB,1.3731199503,38.8728981018,ES,Balearic-Islands
535,TNCA,-70.0151977539,12.5013999939,AW,
536,KPWM,-70.3086163611111,43.6456435,US,Maine
537,CEX3,-113.411003113,52.9650001526,CA,Alberta
538,CNW3,-77.8805999756,45.0731010437,CA,Ontario
539,FL88,-81.4497986111111,26.6836794444444,US,Florida
540,KW32,-76.9328169444445,38.7482613888889,US,Maryland
541,40ME,-70.9559777777778,44.1058916666667,US,Maine
542,KOQU,-71.4121388888889,41.5971388888889,US,Rhode Island
543,31II,-84.9051972222222,38.9120861111111,US,Indiana
544,KELM,-76.8917456666667,42.1598561388889,US,New York
545,7MO5,,,,
546,2WN6,-90.4193011111111,44.5296841666667,US,Wisconsin
547,KDLL,-89.77125,43.5220277777778,US,Wisconsin
548,KLEB,-72.3041944444444,43.6261111111111,US,New Hampshire
549,KJFK,-73.7786925,40.6399277777778,US,New York
550,KAGS,-81.9645,33.3699444444444,US,Georgia
551,KTMB,-80.4332246111111,25.6475637222222,US,Florida
552,II43,-86.1922277777778,41.7500480555556,US,Indiana
553,03ME,-70.6272827777778,44.0842372222222,US,Maine
554,KSUU,-121.924131472222,38.2645366666667,US,California
555,EFHK,24.963300705,60.317199707,FI,Uusimaa
556,KILG,-75.606635,39.6787097222222,US,Delaware
557,KGEG,-117.535222222222,47.6190277777778,US,Washington
558,KLKU,-77.9701266666667,38.0098247222222,US,Virginia
559,KHPN,-73.7075661111111,41.0669530555556,US,New York
560,KDAY,-84.2194122222222,39.9022522222222,US,Ohio
561,II86,,,,
562,03MA,-72.5520322222222,42.3931447222222,US,Massachusetts
563,6AR1,-94.1966,36.2779083333333,US,Arkansas
564,CSP5,-73.2416992188,45.5008010864,CA,Quebec
565,1NY4,,,,
566,KPJC,-80.1608611111111,40.8019722222222,US,Pennsylvania
567,II32,-87.3813986111111,38.0492111111111,US,Indiana
568,KORL,-81.33293,28.5454616666667,US,Florida
569,OI41,-81.1561944444445,41.294,US,Ohio
570,JY43,-74.3385555555555,41.0832222222222,US,New Jersey
571,LKKB,14.5436000824,50.1213989258,CZ,Praha
572,CZBF,-65.738899231,47.629699707,CA,New Brunswick
573,CYBW,-114.374000549,51.103099823,CA,Alberta
574,CSQ3,-72.3103027344,45.481098175,CA,Quebec
575,EIDW,-6.270070076,53.4212989807,IE,Leinster
576,CSP6,-73.9072036743,45.3760986328,CA,Quebec
577,KRME,-75.4070258333333,43.2337994444444,US,New York
578,KMQS,-75.8654722222222,39.9789722222222,US,Pennsylvania
579,MDBE,-69.0553970337,18.5867996216,DO,El-Seibo
580,06TE,-95.0272847222222,30.3129583333333,US,Texas
581,KCMH,-82.8921591666667,39.9969466666667,US,Ohio
582,CYGP,-64.4785995483,48.7752990723,CA,Quebec
583,88PA,-80.4131202777778,40.5392333333333,US,Pennsylvania
584,RKSI,126.4509963989,37.4691009521,KR,Incheon
585,NK08,-74.1298888888889,41.8319138888889,US,New York
586,MI27,-83.854115,42.6125319444444,US,Michigan
587,KOGS,-75.46325,44.68225,US,New York
588,CPU6,-77.1078033447,44.1847000122,CA,Ontario
589,NH84,-71.2211555555556,43.2075888888889,US,New Hampshire
590,CSY3,-73.0421981812,45.9803009033,CA,Quebec
591,EGVO,-0.9428250194,51.2341003418,GB,England
592,OA19,-81.3121361111111,40.8901,US,Ohio
593,CYKF,-80.3786010742,43.4608001709,CA,Ontario
594,KS50,-122.226655111111,47.3276248611111,US,Washington
595,CYXE,-106.6999969482,52.1707992554,CA,Saskatchewan
596,KMSP,-93.2217777777778,44.8819722222222,US,Minnesota
597,1CA6,-116.722520555556,32.7650541666667,US,California
598,EIKY,-9.5237798691,52.1809005737,IE,Munster
599,KIAH,-95.3414425,29.9844352777778,US,Texas
600,8TX7,,,,
601,EGKK,-0.1902779937,51.1481018066,GB,England
602,CSW6,,,,
603,KPHL,-75.2406630555556,39.8720838888889,US,Pennsylvania
604,EINN,-8.9248199463,52.7019996643,IE,Munster
605,20II,,,,
606,KAXV,-84.2980833333333,40.4935555555556,US,Ohio
607,IN50,,,,
608,KARB,-83.7457088333333,42.2229275555556,US,Michigan
609,EDDM,11.7861003876,48.3538017273,DE,Bayern
610,SNGA,-40.4919013977,-20.6464996338,BR,Espírito Santo
611,MN92,-92.3001911111111,46.7499422222222,US,Minnesota
612,KERI,-80.1739444444444,42.0830833333333,US,Pennsylvania
613,FL90,-82.2200947222222,26.6034086111111,US,Florida
614,CCE6,,,,
615,CNC3,-79.875,43.7602996826,CA,Ontario
616,KWWD,-74.9085088888889,39.0083694444444,US,New Jersey
617,CYCH,-65.4492034912,47.0078010559,CA,New Brunswick
618,LEMG,-4.4991102219,36.6749000549,ES,Andalusia
619,CPL3,-75.6281661987,45.1030620653,CA,Ontario
620,KFOK,-72.6318119444444,40.8436186111111,US,New York
621,KBLV,-89.8351855555556,38.5451730555556,US,Illinois
622,KBHM,-86.7523055555556,33.5638888888889,US,Alabama
623,CLA2,-73.4606018066,45.8231010437,CA,Quebec
624,CNS6,-80.8167037964,42.7383003235,CA,Ontario
625,CYPQ,-78.3632965088,44.2299995422,CA,Ontario
626,CAP3,-123.71900177,49.4606018066,CA,British Columbia
627,25OH,-81.2598280555556,40.9131136111111,US,Ohio
628,KSBN,-86.3173375,41.7082238888889,US,Indiana
629,KALO,-92.4010233333333,42.5584491666667,US,Iowa
630,CO14,-105.666111111111,37.4219444444444,US,Colorado
631,TJIG,-66.0984722222222,18.4567777777778,US,Puerto Rico
632,KAIO,-95.04875,41.4038333333333,US,Iowa
633,LIPZ,12.3519001007,45.5052986145,IT,Veneto
634,KCEF,-72.5347866666667,42.1940155555556,US,Massachusetts
635,CSD4,-75.577796936,46.5643997192,CA,Quebec
636,K2W5,-77.0724583333333,38.5970486111111,US,Maryland
637, KLAX,,,,
638,CT19,-72.5398091666667,41.9681522222222,US,Connecticut
639,NY60,-73.5593041666667,44.7625405555556,US,New York
640,EDHI,9.8355560303,53.5352783203,DE,Hamburg
641,CNA4,-79.3499984741,45.5499992371,CA,Ontario
642,KSWF,-74.1048333333333,41.5041111111111,US,New York
643,7NK1,,,,
644,NTAA,-149.606994629,-17.5536994934,PF,Iles-du-Vent
645,CTQ6,-70.9550018311,46.6218986511,CA,Quebec
646,GMME,-6.7515201569,34.0514984131,MA,
647,LTBA,28.8145999908,40.9768981934,TR,Istanbul
648,92VA,-76.5644444444444,37.3447222222222,US,Virginia
649,CPT9,,,,
650,CSE4,-74.3705978394,45.6394004822,CA,Quebec
651,3NJ6,-74.8413333333333,40.0154722222222,US,New Jersey
652,31MA,-72.4086111111111,42.2619444444444,US,Massachusetts
653,26MI,-85.3780730555555,42.92392,US,Michigan
654,KMIA,-80.2901158333333,25.7953611111111,US,Florida
655,CZBA,-79.850102663,43.4414531515,CA,Ontario
656,PN40,-79.8975516666667,42.1842236111111,US,Pennsylvania
657,SBGL,-43.2505569458,-22.8099994659,BR,Rio de Janeiro
658,8KY6,-84.5682777777778,38.9355277777778,US,Kentucky
659,FD08,-80.1497666666667,26.4653513888889,US,Florida
660,CYHZ,-63.5085983276,44.8807983398,CA,Nova Scotia
661,CSJ2,-74.1335983276,47.5946998596,CA,Quebec
662,KAZO,-85.5515555555556,42.2343888888889,US,Michigan
663,CZBM,-72.7414016724,45.2907981873,CA,Quebec
664,KTUS,-110.941013888889,32.1160691666667,US,Arizona
665,KPBI,-80.0955919444444,26.6831616666667,US,Florida
666,KBEH,-86.4248811111111,42.1283808333333,US,Michigan
667,KFSD,-96.741925,43.5820180555556,US,South Dakota
668,EGTK,-1.3200000525,51.8368988037,GB,England
669,5NY1,-74.9062702777778,42.3998030555556,US,New York
670,SBBP,-46.5375,-22.979167,BR,São Paulo
671,KEFK,-72.2286352777778,44.8881755555556,US,Vermont
672,KSTL,-90.3700257222222,38.7486982222222,US,Missouri
673,9OH4,,,,
674,CYTS,-81.376701355,48.5696983337,CA,Ontario
675,EGWU,-0.418166995,51.5530014038,GB,England
676,CYSN,-79.1716995239,43.1916999817,CA,Ontario
677,KRMY,-84.9554443055556,42.2511931666667,US,Michigan
678,CSK5,-71.7857971191,46.8950004578,CA,Quebec
679,ME96,,,,
680,LGKN,23.9510993958,38.1377983093,GR,Attica
681,KSBM,-87.8517222222222,43.7697777777778,US,Wisconsin
682,MMMA,-97.5252990723,25.7698993683,MX,Tamaulipas
683,KORH,-71.8756111111111,42.2671388888889,US,Massachusetts
684,WV65,-80.0113888888889,39.4492522222222,US,West Virginia
685,CBW8,-123.0230026245,54.0080986023,CA,British Columbia
686,KUUU,-71.2815439444444,41.53243975,US,Rhode Island
687,KYIP,-83.5314616666667,42.2402738888889,US,Michigan
688,KUZA,-81.0571666666667,34.9878333333333,US,South Carolina
689,MA43,-72.9001,42.0723155555556,US,Massachusetts
690,EGSS,0.2349999994,51.8849983215,GB,England
691,CJV5,-99.510597229,50.23279953,CA,Manitoba
692,KJAU,-84.1629652777778,36.3340888888889,US,Tennessee
693,EBLG,5.4432201385,50.6374015808,BE,Wallonia
694,KBUF,-78.7305697222222,42.9404272222222,US,New York
695,KFWN,-74.6230352777778,41.2002138888889,US,New Jersey
696,KRDU,-78.7874722222222,35.8776388888889,US,North Carolina
697,MMTJ,-116.9700012207,32.5410995483,MX,Baja California Sur
698,CYLS,-79.5556030273,44.4852981567,CA,Ontario
699,42VT,-73.1501611111111,44.3668861111111,US,Vermont
700,CSC9,-80.8339004517,46.4822006226,CA,Ontario
701,CSB3,-73.2386016846,45.5900001526,CA,Quebec
702,KDFW,-97.0376947222222,32.8972330555556,US,Texas
703,MA66,,,,
704,KMSS,-74.8451197222222,44.9362411111111,US,New York
705,CT96,-72.9712152777778,41.7084313888889,US,Connecticut
706,LL59,34.6907997131,31.8978996277,IL,
707,KMSY,-90.2590277777778,29.9932777777778,US,Louisiana
708,MMMX,-99.0720977783,19.4363002777,MX,Mexico City
709,57ME,-70.8544444444444,43.9177777777778,US,Maine
710,LEPA,2.7388100624,39.551700592,ES,Balearic-Islands
711,KT51,-95.6672230555556,30.0427752777778,US,Texas
712,EGGP,-2.8497200012,53.3335990906,GB,England
713,K5B2,-73.8616388888889,43.0507222222222,US,New York
714,KRSW,-81.7551666666667,26.5361666666667,US,Florida
715,KCRQ,-117.280083333333,33.12825,US,California
716,KN23,-75.4159722222222,42.3025833333333,US,New York
717,CYPA,-105.672996521,53.2141990662,CA,Saskatchewan
718,CDU6,-66.0939025879,46.5525016785,CA,New Brunswick
719,57FA,-81.1192316666667,28.2086244444444,US,Florida
720,K55J,,,,
721,KCYO,-82.9821388888889,39.516,US,Ohio
722,KPAE,-122.282093888889,47.9073180555556,US,Washington
723,88VT,-73.3502777777778,44.8783333333333,US,Vermont
724,KCLW,-82.7590569444444,27.9772138888889,US,Florida
725,DABC,6.6203899384,36.2760009766,DZ,Constantine
726,SDVH,-46.6347236633,-23.0041675568,BR,São Paulo
727,54MI,-84.0830555555555,42.8102777777778,US,Michigan
728,CYCL,-66.3302993774,47.9907989502,CA,New Brunswick
729,75PA,-80.4589577777778,41.8731111111111,US,Pennsylvania
730,0VA9,-76.4538366666667,37.4473605555556,US,Virginia
731,KBTP,-79.9510833333333,40.7765833333333,US,Pennsylvania
732,KFPR,-80.3726388888889,27.4974722222222,US,Florida
733,7NK7,-75.5319444444444,42.7052777777778,US,New York
734,KSGR,-95.6565341666667,29.6222486111111,US,Texas
735,KBJC,-105.117194444444,39.9088055555556,US,Colorado
736,KWAL,-75.4663888888889,37.9401944444444,US,Virginia
737,CSJ5,-72.6303024292,46.4366989136,CA,Quebec
738,MMUN,-86.8770980835,21.0365009308,MX,Quintana Roo
739,48WI,-89.7301458333333,45.7938433333333,US,Wisconsin
740,KN71,-76.5743552777778,40.0922066666667,US,Pennsylvania
741,3TX2,-97.3489077777778,33.0806775,US,Texas
742,9GA1,-81.3369444444444,32.4488888888889,US,Georgia
743,KMSV,-74.7950277777778,41.7016388888889,US,New York
744,MI13,-85.0616666666667,43.1616666666667,US,Michigan
745,MBPV,-72.2658996582,21.7735996246,TC,
746,SDTB,-46.57472229,-23.1277770996,BR,São Paulo
747,CYVR,-123.1839981079,49.193901062,CA,British Columbia
748,MDJB,-69.9856033325,18.5725002289,DO,Santo-Domingo
749,54ME,-70.3202777777778,43.9494444444444,US,Maine
750,CRM5,,,,
751,MA86,-73.0598222222222,42.5056405555556,US,Massachusetts
752,CYUL,-73.7407989502,45.4706001282,CA,Quebec
753,NY94,-73.8645555555556,41.9698333333333,US,New York
754,CJU3,-98.5008010864,50.0964012146,CA,Manitoba
755,OA16,-84.7816666666667,39.1561111111111,US,Ohio
756,KMQJ,-85.8977355555556,39.8431377777778,US,Indiana
757,CYWG,-97.2398986816,49.9099998474,CA,Manitoba
758,KX14,-81.4282777777778,26.7405833333333,US,Florida
759,LDDU,18.2681999207,42.5614013672,HR,Dubrovacko-Neretvanska
760,FD20,-81.4850766666667,26.8003419444444,US,Florida
761,KIMM,-81.4004781666667,26.4337121666667,US,Florida
762,K0G7,-76.7811666666667,42.8835555555556,US,New York
763,SC40,,,,
764,15ME,-70.2291666666667,43.8152777777778,US,Maine
765,CSR8,-79.1785964966,48.9171981812,CA,Quebec
766,TS35,-94.9780555555556,30.0583333333333,US,Texas
767,LPPD,-25.6979007721,37.7411994934,PT,Azores
768,LIMC,8.7281103134,45.6305999756,IT,Lombardy
769,86MI,-83.5674366666667,42.1528186111111,US,Michigan
770,CNU4,-77.3094024658,44.192199707,CA,Ontario
771,GA20,-81.4627777777778,30.8111111111111,US,Georgia
772,KT54,-95.7797583333333,29.5233305555556,US,Texas
773,CSL3,-72.6303024292,46.6217002869,CA,Quebec
774,KLUK,-84.4186111111111,39.1033333333333,US,Ohio
775,LOWL,14.1875,48.2332000732,AT,Upper-Austria
776,KX10,-80.6602444444444,26.6981888888889,US,Florida
777,CYEG,-113.580001831,53.3097000122,CA,Alberta
778,71KY,-84.8727280555556,39.0347805555556,US,Kentucky
779,KFRG,-73.4134205555556,40.7292744444444,US,New York
780,KFMY,-81.8632469444444,26.586615,US,Florida
781,CYAV,-97.0325012207,50.0564002991,CA,Manitoba
782,CNJ4,-79.3102169037,44.6776557839,CA,Ontario
783,AL16,-86.7236022222222,33.7267680555556,US,Alabama
784,CPP6,-79.8525009155,43.0374984741,CA,Ontario
785,1MU2,-94.6643825,39.4450183333333,US,Missouri
786,OK94,-95.8032222222222,36.3545763888889,US,Oklahoma
787,KPHX,-112.011583333333,33.4342777777778,US,Arizona
788,KNRS,-117.1135255,32.5661596111111,US,California
789,KIAG,-78.9458466666667,43.1075573611111,US,New York
790,KHEF,-77.5151011944444,38.7210230833333,US,Dist. Of Columbia
791,KTYS,-83.9940672222222,35.8110911111111,US,Tennessee
792,EPGD,18.4661998749,54.3776016235,PL,Pomerania
793,CNC4,-80.1960983276,43.5638999939,CA,Ontario
794,CSR3,-71.9289016724,46.1128005981,CA,Quebec
795,KNZY,-117.21311,32.6981961111111,US,California
796, KFTY,,,,
797,CSA2,-73.6380996704,45.7919006348,CA,Quebec
798,KB19,-70.4723888888889,43.4641111111111,US,Maine
799,OBBS,50.5905990601,25.9183998108,BH,
800,KVPC,-84.8487066666667,34.1231475,US,Georgia
801,3OH5,,,,
802,LFRS,-1.610730052,47.1531982422,FR,Pays-de-la-Loire
803,GA35,-81.3966666666667,32.1575,US,Georgia
804,KCMA,-119.094354166667,34.2137583333333,US,California
805,KIWA,-111.655459166667,33.3078238888889,US,Arizona
806,EGGW,-0.3683330119,51.8746986389,GB,England
807,CTY5,-73.0378036499,45.4383010864,CA,Quebec
808,KITH,-76.4587222222222,42.4913611111111,US,New York
809,CYTZ,-79.3962020874,43.6274986267,CA,Ontario
810,RJGG,136.8049926758,34.8583984375,JP,Aichi
811,CSG5,-71.1517028809,46.6852989197,CA,Quebec
812,KSFO,-122.375416666667,37.6188055555556,US,California
813,EKBI,9.1517801285,55.7402992249,DK,South Denmark
814,KOWD,-71.1729444444445,42.1905277777778,US,Massachusetts
815,ENGM,11.100399971,60.193901062,NO,Akershus
816,KPBG,-73.4681388888889,44.6509444444444,US,New York
817,LL39,-88.4777777777778,41.2575,US,Illinois
818,WS17,-88.5784463888889,43.9894280555556,US,Wisconsin
819,KEWB,-70.9578361111111,41.6765661111111,US,Massachusetts
820,KOXC,-73.1351825,41.4782805555556,US,Connecticut
821,KPVD,-71.4277222222222,41.7223333333333,US,Rhode Island
822,KGYH,-82.3764166666667,34.7583055555556,US,South Carolina
823,82LA,,,,
824,CAY5,,,,
825,CPE4,-80.2325105667,43.4427306923,CA,Ontario
826,KJQF,-80.7091325,35.3877702777778,US,North Carolina
827,MDBG,-68.7378005981,18.6315994263,DO,La Altagracia
828,CLM2,-82.5250015259,42.0250015259,CA,Ontario
829,CRM3,,,,
830,KEYQ,,,,
831,0NK6,,,,
832,TBPB,-59.4925003052,13.0746002197,BB,Christ-Church
833,42OH,-81.0039813888889,41.15589,US,Ohio
834,KABE,-75.4404058333333,40.6523627777778,US,Pennsylvania
835,MI23,-83.8666666666667,43.3469444444444,US,Michigan
836,CNR6,-76.123298645,45.1039009094,CA,Ontario
837,LFPG,2.5499999523,49.0127983093,FR,Ile-de-France
838,VIDP,77.1031036377,28.5664997101,IN,NCT
839,KSFZ,-71.4914166666667,41.92075,US,Rhode Island
840,59NC,-79.5553019444444,36.0973575,US,North Carolina
841,CRK2,,,,
842,SEAS,-78.2833328247,-0.0833332986,EC,Pichincha
843,LFRE,-2.3463900089,47.2893981934,FR,Pays-de-la-Loire
844,77PA,-79.8997747222222,40.5834005555556,US,Pennsylvania
845,CYOW,-75.6691970825,45.3224983215,CA,Ontario
846,CYCC,-74.5633010864,45.0928001404,CA,Quebec
847,KBDL,-72.6843158333333,41.9390322222222,US,Connecticut
848,KCON,-71.5022777777778,43.2027222222222,US,New Hampshire
849,CWF2,-80.6214737892,44.463879951,CA,Ontario
850,93OH,,,,
851,LLBG,34.8866996765,32.0113983154,IL,Central District
852,PN37,,,,
853,LSZM,7.5299100876,47.5895996094,CH,Grand Est
854,KLIT,-92.2247772222222,34.7294413888889,US,Arkansas
855,KDVT,-112.082555555556,33.6883055555556,US,Arizona
856,KF45,-80.2223333333333,26.8459166666667,US,Florida
857,KASH,-71.5140944444444,42.7824138888889,US,New Hampshire
858,K06C,-88.1012427777778,41.9893408333333,US,Illinois
859,KDLZ,-83.1133836111111,40.2795421388889,US,Ohio
860,LFGJ,5.4272499084,47.0390014648,FR,Bourgogne-Franche-Comte
861,FD25,-80.4988444444444,27.5624694444444,US,Florida
862,K1R8,-87.8193333333333,30.8703333333333,US,Alabama
863,KINT,-80.2219877222222,36.1337138055556,US,North Carolina
864,KGRR,-85.5228055555555,42.8808333333333,US,Michigan
865,CFL4,,,,
866,YMEN,144.9019927979,-37.728099823,AU,Victoria
867,KLAS,-115.152234722222,36.0800438888889,US,Nevada
868,07VT,-72.9147222222222,44.4472222222222,US,Vermont
869,KOSU,-83.0732127777778,40.0795155555556,US,Ohio
870,CMB7,,,,
871,1IN1,-86.6530583333333,39.48838,US,Indiana
872,94FL,-81.8973083333333,26.7328463888889,US,Florida
873,LFML,5.2214241028,43.439271922,FR,Provence-Alpes-Cote-d'Azur
874,CYNA,-61.7891998291,50.1899986267,CA,Quebec
875,KSTP,-93.0603424444444,44.9346225,US,Minnesota
876,KSFB,-81.2349138888889,28.7771780555556,US,Florida
877,CMN3,,,,
878,KROC,-77.6718688888889,43.1191436111111,US,New York
879,K3HO,-87.2639222222222,41.5559,US,Indiana
880,OH91,,,,
881,KSLK,-74.2061813888889,44.3853080555556,US,New York
882,CYYC,-114.0199966431,51.113899231,CA,Alberta
883,GOBD,-17.066944,14.671111,SN,M'bour
884,KVSF,-72.5172777777778,43.3437222222222,US,Vermont
885,CT52,-73.2912277777778,41.3681511111111,US,Connecticut
886,MM28,-98.9436035156,19.8740005493,MX,Morelos
887,KX26,-80.4955833333333,27.81325,US,Florida
888,KTTN,-74.8134722222222,40.2766944444444,US,New Jersey
889,KLEE,-81.8084175,28.8228980555556,US,Florida
890,CYXX,-122.361000061,49.0252990723,CA,British Columbia
891,KBTV,-73.1532761111111,44.471955,US,Vermont
892,KRNO,-119.768111111111,39.4991111111111,US,Nevada
893,KRST,-92.5000277777778,43.9082777777778,US,Minnesota
894,KOAK,-122.221138888889,37.72125,US,California
895,CYLQ,-72.7889022827,47.4096984863,CA,Quebec
896,PANC,-149.9981375,61.1740847222222,US,Alaska
897,LEAL,-0.5581560135,38.2821998596,ES,Valencia
898,LGAV,23.9444999695,37.9364013672,GR,Attica
899,CSN7,-73.0077972412,45.2855987549,CA,Quebec
900,CME2,,,,
901,KGSP,-82.2188594444444,34.8956711111111,US,South Carolina
902,PS52,-78.8327997222222,40.1950769444444,US,Pennsylvania
903,LIRF,12.2508001328,41.8045005798,IT,Latium
904,KATW,-88.5190722222222,44.2580930555556,US,Wisconsin
905,OTHH,51.6137665,25.2605946,QA,Baladiyat-ad-Dawḩah
906,KN66,-75.0644722222222,42.5247777777778,US,New York
907,KGHG,-70.6730198611111,42.0974988333333,US,Massachusetts
908,KHFF,-79.4975130555556,35.0363016666667,US,North Carolina
909,OI69,-81.1670441666667,41.7783797222222,US,Ohio
910,KOIC,-75.5241111111111,42.5665555555556,US,New York
911,SC08,,,,
912,ELLX,6.211520195,49.6265983582,LU,Luxembourg
913,KCID,-91.7107986111111,41.8846885833333,US,Iowa
914,KPNE,-75.0105775,40.0819388888889,US,Pennsylvania
915,8WI6,-87.6528708333333,44.6097180555556,US,Wisconsin
916,KAXH,-95.4769166666667,29.5061388888889,US,Texas
917,II19,,,,
918,6FD6,-81.4331233333333,28.9049886111111,US,Florida
919,06MO,-94.8044058333333,39.2305575,US,Missouri
920,DAAG,3.2154099941,36.6910018921,DZ,Algiers
921,CDD3,-74.3432998657,45.0475006104,CA,Quebec
922,CNY3,-80.1583023071,44.4491996765,CA,Ontario
923,CPR7,-81.2985992432,43.8675003052,CA,Ontario
924,FL84,-81.5703730555555,30.6010702777778,US,Florida
925,CHG2,-53.2538986206,47.6856002808,CA,Newfoundland and Labrador
926,PN01,-79.9058861111111,40.5881227777778,US,Pennsylvania
927,CYSA,-80.9344024658,43.415599823,CA,Ontario
928,EDMO,11.2831001282,48.081401825,DE,Bayern
929,VT22,-73.2670713888889,44.4014388888889,US,Vermont
930,SC72,-82.1464166666667,34.8244722222222,US,South Carolina
931,EVRA,23.9710998535,56.9235992432,LV,Marupe
932,LFPE,2.8352799416,48.9277992249,FR,Ile-de-France
933,NC05,-80.7942380555556,35.40875,US,North Carolina
934,EKAH,10.6190004349,56.2999992371,DK,Central Jutland
935,LPCS,-9.3552303314,38.7249984741,PT,Lisbon
936,89IN,-86.3897158333333,39.5069919444444,US,Indiana
937,CNQ4,,,,
938,CBN7,,,,
939,KTUL,-95.8881055555556,36.1983936111111,US,Oklahoma
940,CSU3,-73.0141983032,45.6049995422,CA,Quebec
941,1NK6,-73.749585,44.4236577777778,US,New York
942,KDAB,-81.0580422222222,29.1799088888889,US,Florida
943,CSL5,-70.8891983032,46.1183013916,CA,Quebec
944,K0B8,-72.0316388888889,41.2521388888889,US,New York
945,KSLC,-111.977773333333,40.7883933333333,US,Utah
946,FA24,-80.6122222222222,27.0933333333333,US,Florida
947,EGKB,0.0324999988,51.3307991028,GB,England
948,EDDK,7.1427397728,50.8658981323,DE,Nordrhein-Westfalen
949,PA07,,,,
950,KLKP,-73.9618694444444,44.2644777777778,US,New York
951,MDSD,-69.6688995361,18.4297008514,DO,Nacional
952,KGRB,-88.1297133333333,44.4846336111111,US,Wisconsin
953,EDFH,7.2638897896,49.9486999512,DE,Rheinland-Pfalz
954,KOAJ,-77.6121388888889,34.8291666666667,US,North Carolina
955,KHGR,-77.7265,39.7085,US,Maryland
956,LFBD,-0.7155560255,44.8283004761,FR,Nouvelle-Aquitaine
957,LKPR,14.2600002289,50.1007995605,CZ,Praha
958,CNF4,-78.7838973999,44.3647003174,CA,Ontario
959,5TX6,,,,
960,EDDB,13.500667,52.362167,DE,Brandenburg
961,7MI8,-83.4761111111111,43.3391666666667,US,Michigan
962,LIPE,11.2887001038,44.5354003906,IT,Emilia Romagna
963,KBIS,-100.7457375,46.7727338888889,US,North Dakota
964,KRFD,-89.0972222222222,42.1953611111111,US,Illinois
965,KMPO,-75.3800555555555,41.1376944444444,US,Pennsylvania
966,CYHU,-73.4169006348,45.5175018311,CA,Quebec
967,EBMB,4.4844444444,50.901389,BE,Flanders
968,CNV4,-74.6500015259,45.6166992188,CA,Ontario
969,KCLT,-80.9490555555556,35.21375,US,North Carolina
970,SBMT,-46.6377983093,-23.5090999603,BR,São Paulo
971,KARR,-88.4756666666667,41.7719166666667,US,Illinois
972,KFAY,-78.8802741666667,34.9912111111111,US,North Carolina
973,4NC6,-82.4820833333333,35.4413055555556,US,North Carolina
974,KUCP,-80.4133627777778,41.0253330555556,US,Pennsylvania
975,KMRT,-83.3516330555556,40.2244997222222,US,Ohio
976,K39N,-74.6590063888889,40.3990888888889,US,New Jersey
977,KLOU,-85.6637490555556,38.2279840277778,US,Kentucky
978,KART,-76.0194166666667,43.9918333333333,US,New York
979,06FA,-80.3284140277778,26.9081530555556,US,Florida
980,KSCK,-121.23874,37.8944102777778,US,California
981,KXNA,-94.3077655555555,36.2815791666667,US,Arkansas
982,KTNU,-93.0217283333333,41.67443,US,Iowa
