,code,type,company
2322,N629AE,L2J,AMERICAN AIRLINES INC
2323,N629QS,L2J,OTHERS
2324,N630AE,L2J,AMERICAN AIRLINES INC
2325,N631AE,L2J,AMERICAN AIRLINES INC
2326,N631CB,L2J,OTHERS
2327,N631FE,L3J,OTHERS
2328,N631RP,L2J,OTHERS
2329,N631RW,L2J,REPUBLIC AIRWAYS INC
2330,N631SK,L2J,OTHERS
2331,N632AE,L2J,AMERICAN AIRLINES INC
2332,N632RW,L2J,OTHERS
2333,N632SK,L2J,OTHERS
2334,N633AE,L2J,AMERICAN AIRLINES INC
2335,N633RW,L2J,REPUBLIC AIRWAYS INC
2336,N633SK,L2J,OTHERS
2337,N634AE,L2J,AMERICAN AIRLINES INC
2338,N634QS,L2J,OTHERS
2339,N634RW,L2J,OTHERS
2340,N635AE,L2J,AMERICAN AIRLINES INC
2341,N635QS,L2J,OTHERS
2342,N635RW,L2J,REPUBLIC AIRWAYS INC
2343,N636AE,L2J,AMERICAN AIRLINES INC
2344,N636RW,L2J,OTHERS
2345,N636SD,L2J,OTHERS
2346,N637AE,L2J,AMERICAN AIRLINES INC
2347,N637RW,L2J,OTHERS
2348,N638AE,L2J,AMERICAN AIRLINES INC
2349,N638RW,L2J,REPUBLIC AIRWAYS INC
2350,N639AE,L2J,AMERICAN AIRLINES INC
2351,N639RW,L2J,REPUBLIC AIRWAYS INC
2352,N63NE,L2T,OTHERS
2353,N640AE,L2J,AMERICAN AIRLINES INC
2354,N640QS,L2J,OTHERS
2355,N640RW,L2J,BANK OF UTAH TRUSTEE
2356,N641AE,L2J,AMERICAN AIRLINES INC
2357,N641QS,L2J,OTHERS
2358,N641RW,L2J,BANK OF UTAH TRUSTEE
2359,N642AE,L2J,AMERICAN AIRLINES INC
2360,N642FE,L3J,OTHERS
2361,N642QS,L2J,OTHERS
2362,N642RW,L2J,BANK OF UTAH TRUSTEE
2363,N643AE,L2J,AMERICAN AIRLINES INC
2364,N643FE,L3J,OTHERS
2365,N643QS,L2J,OTHERS
2366,N643RW,L2J,OTHERS
2367,N644AE,L2J,AMERICAN AIRLINES INC
2368,N644QS,L2J,OTHERS
2369,N644RW,L2J,OTHERS
2370,N644SD,L1T,OTHERS
2371,N645AE,L2J,AMERICAN AIRLINES INC
2372,N645RW,L2J,REPUBLIC AIRWAYS INC
2373,N646AE,L2J,AMERICAN AIRLINES INC
2374,N646QS,L2J,OTHERS
2375,N646RW,L2J,OTHERS
2376,N647AE,L2J,AMERICAN AIRLINES INC
2377,N647RW,L2J,REPUBLIC AIRWAYS INC
2378,N648AE,L2J,AMERICAN AIRLINES INC
2379,N648QS,L2J,OTHERS
2380,N648RW,L2J,REPUBLIC AIRWAYS INC
2381,N649DL,L2J,BANK OF UTAH TRUSTEE
2382,N649PP,L2J,AMERICAN AIRLINES INC
2383,N649RW,L2J,OTHERS
2384,N650AE,L2J,AMERICAN AIRLINES INC
2385,N650AW,L2J,OTHERS
2386,N650DL,L2J,BANK OF UTAH TRUSTEE
2387,N650FE,L2J,OTHERS
2388,N650RW,L2J,REPUBLIC AIRWAYS INC
2389,N651AE,L2J,AMERICAN AIRLINES INC
2390,N651CT,L2T,OTHERS
2391,N651DL,L2J,BANK OF UTAH TRUSTEE
2392,N651FE,L2J,OTHERS
2393,N651GT,L2J,OTHERS
2394,N651QS,L2J,OTHERS
2395,N651RW,L2J,OTHERS
2396,N652BR,L2J,OTHERS
2397,N652DL,L2J,BANK OF UTAH TRUSTEE
2398,N652FC,L2J,OTHERS
2399,N652FE,L2J,OTHERS
2400,N652RS,L2J,AMERICAN AIRLINES INC
2401,N652RW,L2J,OTHERS
2402,N653AE,L2J,AMERICAN AIRLINES INC
2403,N653AF,L1T,OTHERS
2404,N653FE,L2J,OTHERS
2405,N653RW,L2J,REPUBLIC AIRWAYS INC
2406,N654AE,L2J,AMERICAN AIRLINES INC
2407,N654DL,L2J,BANK OF UTAH TRUSTEE
2408,N654FE,L2J,OTHERS
2409,N654RW,L2J,OTHERS
2410,N655AE,L2J,AMERICAN AIRLINES INC
2411,N655CA,L2J,DELTA AIR LINES
2412,N655FE,L2J,OTHERS
2413,N655QS,L2J,OTHERS
2414,N655RW,L2J,REPUBLIC AIRWAYS INC
2415,N656AE,L2J,AMERICAN AIRLINES INC
2416,N656CA,L2J,OTHERS
2417,N656FE,L2J,OTHERS
2418,N656RW,L2J,OTHERS
2419,N657AE,L2J,AMERICAN AIRLINES INC
2420,N657FE,L2J,OTHERS
2421,N657RW,L2J,OTHERS
2422,N658AE,L2J,AMERICAN AIRLINES INC
2423,N658QS,L2J,OTHERS
2424,N659AE,L2J,AMERICAN AIRLINES INC
2425,N659FE,L2J,OTHERS
2426,N660AW,L2J,OTHERS
2427,N660CL,L2J,AMERICAN AIRLINES INC
2428,N660FE,L2J,OTHERS
2429,N660QS,L2J,OTHERS
2430,N661AW,L2J,OTHERS
2431,N661DN,L2J,BANK OF UTAH TRUSTEE
2432,N661FE,L2J,OTHERS
2433,N661JA,L2J,AMERICAN AIRLINES INC
2434,N661QS,L2J,OTHERS
2435,N662EH,L2J,AMERICAN AIRLINES INC
2436,N662FE,L2J,OTHERS
2437,N663AR,L2J,AMERICAN AIRLINES INC
2438,N663FE,L2J,OTHERS
2439,N664AW,L2J,OTHERS
2440,N664FE,L2J,OTHERS
2441,N664JN,L2J,OTHERS
2442,N664MS,L2J,AMERICAN AIRLINES INC
2443,N664QS,L2J,OTHERS
2444,N665BC,L2J,AMERICAN AIRLINES INC
2445,N665FE,L2J,OTHERS
2446,N667FE,L2J,OTHERS
2447,N667GB,L2J,AMERICAN AIRLINES INC
2448,N667QS,L2J,OTHERS
2449,N668AW,L2J,OTHERS
2450,N668CA,L2J,DELTA AIR LINES
2451,N668CP,L2J,OTHERS
2452,N668FE,L2J,OTHERS
2453,N668HH,L2J,AMERICAN AIRLINES INC
2454,N668QS,L2J,OTHERS
2455,N669FE,L2J,OTHERS
2456,N669MB,L2J,AMERICAN AIRLINES INC
2457,N670AE,L2J,AMERICAN AIRLINES INC
2458,N671AE,L2J,AMERICAN AIRLINES INC
2459,N671FE,L2J,OTHERS
2460,N672AE,L2J,AMERICAN AIRLINES INC
2461,N672FE,L2J,OTHERS
2462,N673AE,L2J,AMERICAN AIRLINES INC
2463,N673FE,L2J,OTHERS
2464,N674FE,L2J,OTHERS
2465,N675BW,L1P,OTHERS
2466,N675FE,L2J,OTHERS
2467,N676AE,L2J,AMERICAN AIRLINES INC
2468,N676CA,L2J,DELTA AIR LINES
2469,N676FE,L2J,OTHERS
2470,N677FE,L2J,OTHERS
2471,N678AE,L2J,AMERICAN AIRLINES INC
2472,N678CA,L2J,DELTA AIR LINES
2473,N678FE,L2J,OTHERS
2474,N678QS,L2J,OTHERS
2475,N679AE,L2J,AMERICAN AIRLINES INC
2476,N679AW,L2J,WELLS FARGO TRUST CO NA TRUSTEE
2477,N679CA,L2J,DELTA AIR LINES
2478,N679FE,L2J,OTHERS
2479,N679QS,L2J,OTHERS
2480,N679SA,L2J,OTHERS
2481,N680AE,L2J,AMERICAN AIRLINES INC
2482,N680FE,L2J,OTHERS
2483,N680PA,L2T,OTHERS
2484,N681AE,L2J,AMERICAN AIRLINES INC
2485,N681NG,L1T,OTHERS
2486,N681QS,L2J,OTHERS
2487,N682AE,L2J,AMERICAN AIRLINES INC
2488,N682FE,L2J,OTHERS
2489,N683AE,L2J,AMERICAN AIRLINES INC
2490,N683FE,L2J,OTHERS
2491,N683QS,L2J,OTHERS
2492,N683SL,L2J,OTHERS
2493,N684FE,L2J,OTHERS
2494,N684JW,L2J,AMERICAN AIRLINES INC
2495,N685AE,L2J,AMERICAN AIRLINES INC
2496,N685BR,L2J,DELTA AIR LINES
2497,N685FE,L2J,OTHERS
2498,N685QS,L2J,OTHERS
2499,N686AE,L2J,AMERICAN AIRLINES INC
2500,N686BR,L2J,DELTA AIR LINES
2501,N686FE,L2J,OTHERS
2502,N687FE,L2J,OTHERS
2503,N688AE,L2J,AMERICAN AIRLINES INC
2504,N688FE,L2J,OTHERS
2505,N689CA,L2J,DELTA AIR LINES
2506,N689EC,L2J,AMERICAN AIRLINES INC
2507,N689FE,L2J,OTHERS
2508,N690AE,L2J,AMERICAN AIRLINES INC
2509,N690FE,L2J,OTHERS
2510,N691AE,L2J,AMERICAN AIRLINES INC
2511,N691AF,L1T,OTHERS
2512,N691CA,L2J,DELTA AIR LINES
2513,N691FE,L2J,OTHERS
2514,N691QS,L2J,OTHERS
2515,N692AE,L2J,AMERICAN AIRLINES INC
2516,N692CA,L2J,DELTA AIR LINES
2517,N692FE,L2J,OTHERS
2518,N693AE,L2J,AMERICAN AIRLINES INC
2519,N693BR,L2J,OTHERS
2520,N693CA,L2J,DELTA AIR LINES
2521,N694AE,L2J,AMERICAN AIRLINES INC
2522,N695AE,L2J,AMERICAN AIRLINES INC
2523,N695CA,L2J,DELTA AIR LINES
2524,N695QS,L2J,OTHERS
2525,N696AE,L2J,AMERICAN AIRLINES INC
2526,N696QS,L2J,OTHERS
2527,N697AB,L2J,AMERICAN AIRLINES INC
2528,N698CB,L2J,AMERICAN AIRLINES INC
2529,N698QS,L2J,OTHERS
2530,N699AE,L2J,AMERICAN AIRLINES INC
2531,N699BR,L2J,OTHERS
2532,N699CJ,L2J,OTHERS
2533,N6NR,L2J,OTHERS
2534,N70020,L2J,WELLS FARGO TRUST CO NA TRUSTEE
2535,N700KM,L1T,OTHERS
2536,N700UW,L2J,OTHERS
2537,N700WH,L2J,OTHERS
2538,N701BR,L2J,OTHERS
2539,N701SK,L2J,OTHERS
2540,N701UW,L2J,OTHERS
2541,N702PS,L2J,AMERICAN AIRLINES INC
2542,N702UW,L2J,OTHERS
2543,N703PS,L2J,AMERICAN AIRLINES INC
2544,N703UW,L2J,OTHERS
2545,N704US,L2J,WELLS FARGO TRUST CO NA TRUSTEE
2546,N705UW,L2J,BANK OF UTAH TRUSTEE
2547,N706PS,L2J,WELLS FARGO TRUST CO NA TRUSTEE
2548,N706SK,L2J,OTHERS
2549,N707EV,L2J,OTHERS
2550,N707SK,L2J,OTHERS
2551,N707TG,L2T,OTHERS
2552,N708SK,L2J,OTHERS
2553,N708UW,L2J,OTHERS
2554,N709BR,L2J,OTHERS
2555,N709PS,L2J,OTHERS
2556,N709SK,L2J,OTHERS
2557,N709UW,L2J,OTHERS
2558,N70AL,A4P,OTHERS
2559,N710PS,L2J,OTHERS
2560,N710UW,L2J,OTHERS
2561,N711EC,L2J,OTHERS
2562,N711RE,L2T,OTHERS
2563,N711UW,L2J,BANK OF UTAH TRUSTEE
2564,N711VV,L2T,OTHERS
2565,N712US,L2J,WELLS FARGO TRUST CO NA TRUSTEE
2566,N713SY,L2J,OTHERS
2567,N713UW,L2J,OTHERS
2568,N713WD,L2J,OTHERS
2569,N714TS,L2J,OTHERS
2570,N714US,L2J,WELLS FARGO TRUST CO NA TRUSTEE
2571,N715UW,L2J,WELLS FARGO TRUST CO NA TRUSTEE
2572,N716BT,L1T,OTHERS
2573,N716PS,L2J,OTHERS
2574,N716UW,L2J,OTHERS
2575,N717EV,L2J,OTHERS
2576,N717JL,L2J,WELLS FARGO TRUST CO NA TRUSTEE
2577,N717LM,H1T,OTHERS
2578,N717MB,L2J,OTHERS
2579,N717MK,L2J,OTHERS
2580,N717UW,L2J,BANK OF UTAH TRUSTEE
2581,N718EV,L2J,OTHERS
2582,N718PM,L2J,OTHERS
2583,N718SK,L2J,OTHERS
2584,N719PS,L2J,WELLS FARGO TRUST CO NA TRUSTEE
2585,N71MT,L2J,OTHERS
2586,N720EV,L2J,OTHERS
2587,N720PS,L2J,OTHERS
2588,N720TM,L2J,OTHERS
2589,N721FD,L2J,OTHERS
2590,N721UW,L2J,BANK OF UTAH TRUSTEE
2591,N721YX,L2J,REPUBLIC AIRWAYS INC
2592,N722EV,L2J,OTHERS
2593,N722FD,L2J,OTHERS
2594,N722US,L2J,BANK OF UTAH TRUSTEE
2595,N722YX,L2J,REPUBLIC AIRWAYS INC
