,airline,duration,departureTime,flightRange,count
103,SUNWING AIRLINES INC.,Court,Après-midi,International,188
104,AIR TRANSAT,Moyen,Soir,International,342
105,PORTER AIRLINES INC.,Court,Soir,Canada,919
106,REPUBLIC AIRWAYS INC,Court,Soir,International,484
107,SKYSERVICE BUSINESS AVIATION INC.,Court,Soir,International,136
108,BANK OF UTAH TRUSTEE,Court,Soir,Quebec,12
109,FLAIR AIRLINE,Court,Soir,International,16
110,WESTJET ENCORE LTD.,Court,Soir,Canada,600
111,PORTER AIRLINES INC.,Court,Soir,International,57
112,SKY REGIONAL AIRLINES INC.,Court,Soir,International,980
113,BANK OF UTAH TRUSTEE,Court,Soir,International,214
114,AUTRES,Court,Soir,Quebec,480
115,AUTRES,Moyen,Soir,Quebec,126
116,AIR TRANSAT,Long,Soir,International,609
117,SUNWING AIRLINES INC.,Court,Soir,International,256
118,AMERICAN AIRLINES INC,Court,Soir,International,322
119,JAZZ AVIATION LP,Court,Soir,Quebec,169
120,FLAIR AIRLINE,Moyen,Soir,Canada,74
121,AIR GEORGIAN LIMITED,Court,Nuit,Canada,11
122,PORTER AIRLINES INC.,Court,Nuit,Canada,18
123,AUTRES,Court,Nuit,Canada,844
124,REPUBLIC AIRWAYS INC,Court,Nuit,International,27
125,AIR CANADA,Moyen,Nuit,Quebec,80
126,AIR CANADA,Moyen,Nuit,International,631
127,SUNWING AIRLINES INC.,Long,Matin,Quebec,98
128,AIR GEORGIAN LIMITED,Court,Matin,Canada,83
129,AUTRES,Long,Matin,Quebec,101
130,WESTJET,Long,Matin,Canada,1
131,REPUBLIC AIRWAYS INC,Court,Matin,International,890
132,SKYSERVICE BUSINESS AVIATION INC.,Moyen,Matin,International,84
133,AUTRES,Court,Matin,Quebec,1269
134,BANK OF UTAH TRUSTEE,Court,Matin,International,433
135,AIR CANADA,Long,Matin,Quebec,185
136,WESTJET ENCORE LTD.,Court,Matin,International,74
137,AVIATION STARLINK INC.,Moyen,Après-midi,International,29
138,AIR CANADA,Long,Après-midi,International,196
139,FLAIR AIRLINE,Court,Après-midi,International,59
140,WELLS FARGO TRUST CO NA TRUSTEE,Court,Après-midi,International,344
141,WESTJET,Moyen,Après-midi,Quebec,377
142,BANK OF UTAH TRUSTEE,Court,Après-midi,International,420
143,DELTA AIR LINES,Moyen,Après-midi,International,1
144,AUTRES,Court,Après-midi,Quebec,1455
145,FLAIR AIRLINE,Court,Après-midi,Canada,129
146,BANK OF UTAH TRUSTEE,Court,Après-midi,Quebec,57
147,AVIATION STARLINK INC.,Court,Soir,International,96
148,AIR TRANSAT,Court,Soir,Canada,399
149,FLAIR AIRLINE,Court,Soir,Canada,25
150,AIRSPRINT INC.,Court,Soir,Canada,74
151,WESTJET,Moyen,Soir,Quebec,48
152,AIR FRANCE,Moyen,Soir,International,109
153,WELLS FARGO TRUST CO NA TRUSTEE,Court,Soir,International,271
154,FLAIR AIRLINE,Moyen,Nuit,Canada,88
155,JAZZ AVIATION LP,Court,Nuit,Canada,508
156,AIR TRANSAT,Court,Nuit,International,90
157,AIR FRANCE,Moyen,Nuit,International,108
158,CARGOJET AIRWAYS LTD.,Court,Matin,Canada,69
159,AVIATION STARLINK INC.,Court,Matin,Canada,125
160,FLAIR AIRLINE,Court,Matin,Canada,213
161,CARGOJET AIRWAYS LTD.,Long,Matin,International,29
162,SKYSERVICE BUSINESS AVIATION INC.,Long,Matin,International,24
163,SUNWING AIRLINES INC.,Court,Matin,International,259
164,SKYSERVICE BUSINESS AVIATION INC.,Court,Matin,International,341
165,WESTJET ENCORE LTD.,Court,Après-midi,International,56
166,JAZZ AVIATION LP,Court,Après-midi,Quebec,519
167,JAZZ AVIATION LP,Long,Après-midi,International,2
168,AUTRES,Moyen,Après-midi,Canada,254
169,AIR GEORGIAN LIMITED,Court,Après-midi,Canada,48
170,AVIATION STARLINK INC.,Court,Après-midi,Quebec,31
171,SKYSERVICE BUSINESS AVIATION INC.,Moyen,Soir,International,17
172,AIR GEORGIAN LIMITED,Court,Soir,Canada,55
173,AIR TRANSAT,Court,Soir,International,357
174,AIRSPRINT INC.,Court,Soir,International,54
175,AUTRES,Court,Nuit,Quebec,230
176,AMERICAN AIRLINES INC,Court,Nuit,International,52
177,CARGOJET AIRWAYS LTD.,Court,Matin,International,162
178,CARGOJET AIRWAYS LTD.,Moyen,Matin,International,109
179,SUNWING AIRLINES INC.,Court,Matin,Canada,158
180,AIRSPRINT INC.,Court,Matin,Canada,129
181,AIRSPRINT INC.,Court,Matin,International,159
182,JAZZ AVIATION LP,Moyen,Matin,Quebec,104
183,AVIATION STARLINK INC.,Court,Matin,International,199
184,SKYSERVICE BUSINESS AVIATION INC.,Moyen,Après-midi,International,88
185,CARGOJET AIRWAYS LTD.,Court,Après-midi,International,114
186,AVIATION STARLINK INC.,Court,Après-midi,Canada,130
187,SKYSERVICE BUSINESS AVIATION INC.,Court,Après-midi,Canada,129
188,JAZZ AVIATION LP,Moyen,Après-midi,International,42
189,AIR TRANSAT,Court,Après-midi,Canada,209
190,JAZZ AVIATION LP,Moyen,Soir,International,60
191,SUNWING AIRLINES INC.,Moyen,Nuit,International,68
192,AIR GEORGIAN LIMITED,Court,Nuit,International,54
193,SUNWING AIRLINES INC.,Court,Nuit,Canada,133
194,SKY REGIONAL AIRLINES INC.,Court,Nuit,International,171
195,SUNWING AIRLINES INC.,Long,Matin,Canada,11
196,SKY REGIONAL AIRLINES INC.,Court,Après-midi,Quebec,19
197,AMERICAN AIRLINES INC,Moyen,Après-midi,International,15
198,FLAIR AIRLINE,Moyen,Après-midi,International,56
199,AIR FRANCE,Court,Après-midi,International,14
200,AIR TRANSAT,Long,Après-midi,Quebec,32
201,AUTRES,Moyen,Soir,Canada,115
202,AUTRES,Long,Après-midi,Quebec,36
203,JAZZ AVIATION LP,Moyen,Après-midi,Canada,52
204,AVIATION STARLINK INC.,Court,Soir,Canada,70
205,FLAIR AIRLINE,Court,Nuit,Canada,5
206,SKYSERVICE BUSINESS AVIATION INC.,Court,Soir,Canada,82
207,AIRSPRINT INC.,Court,Nuit,Canada,17
208,AIRSPRINT INC.,Moyen,Matin,Quebec,3
209,AVIATION STARLINK INC.,Long,Matin,International,10
210,WESTJET,Court,Après-midi,Canada,6
211,AIRSPRINT INC.,Moyen,Après-midi,International,32
212,SUNWING AIRLINES INC.,Court,Soir,Canada,25
213,AIRSPRINT INC.,Moyen,Matin,International,39
214,SKYSERVICE BUSINESS AVIATION INC.,Long,Soir,International,6
215,BANK OF UTAH TRUSTEE,Moyen,Nuit,International,78
216,AIR GEORGIAN LIMITED,Court,Matin,Quebec,34
217,BANK OF UTAH TRUSTEE,Moyen,Soir,International,58
218,BANK OF UTAH TRUSTEE,Court,Nuit,International,118
219,SKYSERVICE BUSINESS AVIATION INC.,Court,Matin,Canada,136
220,AVIATION STARLINK INC.,Moyen,Matin,International,16
221,AIR GEORGIAN LIMITED,Court,Après-midi,Quebec,33
222,BANK OF UTAH TRUSTEE,Long,Soir,Canada,4
223,SKYSERVICE BUSINESS AVIATION INC.,Court,Nuit,Canada,16
224,SUNWING AIRLINES INC.,Long,Matin,International,8
225,AIR CANADA,Long,Après-midi,Quebec,45
226,JAZZ AVIATION LP,Moyen,Matin,International,63
227,AIR CANADA,Court,Après-midi,Quebec,481
228,SUNWING AIRLINES INC.,Long,Après-midi,Quebec,8
229,AIRSPRINT INC.,Court,Après-midi,Quebec,19
230,AIRSPRINT INC.,Moyen,Soir,International,6
231,AUTRES,Long,Matin,Canada,15
232,AIR FRANCE,Court,Soir,International,7
233,AVIATION STARLINK INC.,Long,Nuit,International,4
234,AIR CANADA,Court,Matin,Quebec,639
235,AIRSPRINT INC.,Long,Après-midi,Canada,1
236,AIR CANADA,Court,Soir,Quebec,258
237,SKYSERVICE BUSINESS AVIATION INC.,Moyen,Soir,Canada,4
238,AIR GEORGIAN LIMITED,Court,Soir,Quebec,18
239,AIR TRANSAT,Long,Matin,Canada,1
240,AVIATION STARLINK INC.,Court,Nuit,International,34
241,AIR TRANSAT,Court,Matin,Canada,12
242,SKYSERVICE BUSINESS AVIATION INC.,Court,Matin,Quebec,39
243,SUNWING AIRLINES INC.,Court,Après-midi,Canada,17
244,BANK OF UTAH TRUSTEE,Long,Après-midi,International,3
245,WESTJET ENCORE LTD.,Court,Nuit,Canada,109
246,SKYSERVICE BUSINESS AVIATION INC.,Court,Nuit,International,28
247,BANK OF UTAH TRUSTEE,Court,Nuit,Canada,91
248,SUNWING AIRLINES INC.,Moyen,Matin,Canada,3
249,AIR GEORGIAN LIMITED,Long,Matin,International,2
250,AIRSPRINT INC.,Moyen,Après-midi,Quebec,3
251,SUNWING AIRLINES INC.,Long,Après-midi,International,5
252,BANK OF UTAH TRUSTEE,Moyen,Après-midi,International,91
253,SKYSERVICE BUSINESS AVIATION INC.,Long,Nuit,International,5
254,AIR CANADA,Court,Nuit,Quebec,248
255,AUTRES,Moyen,Matin,Canada,109
256,SKYSERVICE BUSINESS AVIATION INC.,Court,Après-midi,Quebec,29
257,JAZZ AVIATION LP,Moyen,Soir,Quebec,2
258,AIRSPRINT INC.,Court,Matin,Quebec,8
259,FLAIR AIRLINE,Court,Matin,International,23
260,AIR TRANSAT,Court,Soir,Quebec,17
261,JAZZ AVIATION LP,Moyen,Nuit,International,1
262,BANK OF UTAH TRUSTEE,Court,Après-midi,Canada,24
263,BANK OF UTAH TRUSTEE,Court,Matin,Quebec,17
264,CARGOJET AIRWAYS LTD.,Court,Après-midi,Canada,16
265,AVIATION STARLINK INC.,Moyen,Soir,International,7
266,BANK OF UTAH TRUSTEE,Court,Soir,Canada,7
267,JAZZ AVIATION LP,Moyen,Matin,Canada,24
268,BANK OF UTAH TRUSTEE,Long,Nuit,International,4
269,AVIATION STARLINK INC.,Court,Matin,Quebec,31
270,AIRSPRINT INC.,Court,Soir,Quebec,12
271,PORTER AIRLINES INC.,Moyen,Après-midi,Quebec,2
272,FLAIR AIRLINE,Court,Après-midi,Quebec,88
273,SUNWING AIRLINES INC.,Long,Après-midi,Canada,15
274,PORTER AIRLINES INC.,Court,Après-midi,Quebec,124
275,SKY REGIONAL AIRLINES INC.,Court,Soir,Quebec,26
276,AIR TRANSAT,Long,Après-midi,International,43
277,CARGOJET AIRWAYS LTD.,Court,Soir,Quebec,25
278,AVIATION STARLINK INC.,Court,Soir,Quebec,9
279,WESTJET,Court,Soir,Canada,11
280,AUTRES,Long,Soir,Canada,9
281,AVIATION STARLINK INC.,Court,Nuit,Canada,19
282,AIR FRANCE,Court,Nuit,International,1
283,CARGOJET AIRWAYS LTD.,Long,Nuit,International,2
284,AIR CANADA,Long,Soir,Canada,2
285,AIR FRANCE,Court,Soir,Canada,1
286,CARGOJET AIRWAYS LTD.,Court,Nuit,Quebec,8
287,SKY REGIONAL AIRLINES INC.,Court,Soir,Canada,9
288,SKYSERVICE BUSINESS AVIATION INC.,Long,Après-midi,International,13
289,AVIATION STARLINK INC.,Long,Après-midi,International,2
290,WESTJET,Court,Nuit,International,1
291,SKYSERVICE BUSINESS AVIATION INC.,Moyen,Après-midi,Quebec,2
292,AIR CANADA,Long,Après-midi,Canada,9
293,JAZZ AVIATION LP,Moyen,Soir,Canada,5
294,AIR TRANSAT,Court,Nuit,Canada,25
295,AIR GEORGIAN LIMITED,Court,Nuit,Quebec,14
296,CARGOJET AIRWAYS LTD.,Moyen,Soir,International,1
297,AVIATION STARLINK INC.,Long,Soir,International,1
298,BANK OF UTAH TRUSTEE,Court,Matin,Canada,11
299,SKYSERVICE BUSINESS AVIATION INC.,Court,Soir,Quebec,16
300,AMERICAN AIRLINES INC,Moyen,Matin,International,33
301,FLAIR AIRLINE,Court,Soir,Quebec,3
302,WESTJET,Moyen,Soir,International,4
303,WESTJET,Court,Après-midi,Quebec,1
304,BANK OF UTAH TRUSTEE,Long,Nuit,Canada,1
305,AIR GEORGIAN LIMITED,Moyen,Matin,Canada,1
306,PORTER AIRLINES INC.,Moyen,Matin,Canada,1
307,SKYSERVICE BUSINESS AVIATION INC.,Moyen,Nuit,International,6
308,SKY REGIONAL AIRLINES INC.,Court,Matin,Quebec,2
309,SUNWING AIRLINES INC.,Court,Soir,Quebec,2
310,SKYSERVICE BUSINESS AVIATION INC.,Moyen,Matin,Quebec,4
311,FLAIR AIRLINE,Moyen,Matin,International,42
312,FLAIR AIRLINE,Court,Matin,Quebec,80
313,CARGOJET AIRWAYS LTD.,Long,Après-midi,International,2
314,AUTRES,Long,Après-midi,Canada,5
315,SKYSERVICE BUSINESS AVIATION INC.,Moyen,Après-midi,Canada,7
316,WELLS FARGO TRUST CO NA TRUSTEE,Moyen,Soir,International,13
317,WELLS FARGO TRUST CO NA TRUSTEE,Moyen,Matin,International,37
318,AIR TRANSAT,Court,Matin,Quebec,4
319,BANK OF UTAH TRUSTEE,Moyen,Après-midi,Canada,2
320,PORTER AIRLINES INC.,Court,Matin,Quebec,296
321,AMERICAN AIRLINES INC,Moyen,Soir,International,20
322,AIRSPRINT INC.,Long,Matin,International,2
323,WESTJET ENCORE LTD.,Moyen,Après-midi,Canada,1
324,SKYSERVICE BUSINESS AVIATION INC.,Moyen,Soir,Quebec,3
325,PORTER AIRLINES INC.,Court,Soir,Quebec,176
326,AIR GEORGIAN LIMITED,Moyen,Matin,International,5
327,SKY REGIONAL AIRLINES INC.,Moyen,Après-midi,International,408
328,AVIATION STARLINK INC.,Moyen,Après-midi,Quebec,4
329,BANK OF UTAH TRUSTEE,Long,Soir,International,6
330,WESTJET,Moyen,Après-midi,International,2
331,CARGOJET AIRWAYS LTD.,Court,Après-midi,Quebec,14
332,CARGOJET AIRWAYS LTD.,Court,Matin,Quebec,1
333,CARGOJET AIRWAYS LTD.,Moyen,Après-midi,International,4
334,CARGOJET AIRWAYS LTD.,Moyen,Nuit,Quebec,1
335,AIR CANADA,Long,Nuit,Quebec,7
336,AIR GEORGIAN LIMITED,Moyen,Après-midi,Quebec,1
337,AIR GEORGIAN LIMITED,Moyen,Soir,Quebec,1
338,AIRSPRINT INC.,Long,Après-midi,International,1
339,PORTER AIRLINES INC.,Court,Nuit,Quebec,6
340,AIR TRANSAT,Long,Soir,Quebec,2
341,AMERICAN AIRLINES INC,Moyen,Nuit,International,2
342,BANK OF UTAH TRUSTEE,Long,Matin,Canada,1
343,CARGOJET AIRWAYS LTD.,Long,Soir,International,1
344,SUNWING AIRLINES INC.,Long,Soir,Quebec,8
345,AIRSPRINT INC.,Court,Nuit,International,8
346,CARGOJET AIRWAYS LTD.,Moyen,Soir,Canada,1
347,AIR TRANSAT,Moyen,Soir,Canada,91
348,SKY REGIONAL AIRLINES INC.,Court,Nuit,Quebec,27
349,SKY REGIONAL AIRLINES INC.,Moyen,Matin,International,427
350,AIR TRANSAT,Moyen,Après-midi,Canada,104
351,SKY REGIONAL AIRLINES INC.,Moyen,Soir,International,154
352,WESTJET ENCORE LTD.,Court,Soir,Quebec,74
353,AIR TRANSAT,Moyen,Soir,Quebec,74
354,SKYSERVICE BUSINESS AVIATION INC.,Moyen,Matin,Canada,6
355,AIR TRANSAT,Moyen,Après-midi,Quebec,73
356,SKY REGIONAL AIRLINES INC.,Moyen,Nuit,International,4
357,WESTJET ENCORE LTD.,Court,Après-midi,Quebec,89
358,CARGOJET AIRWAYS LTD.,Moyen,Matin,Canada,2
359,CARGOJET AIRWAYS LTD.,Moyen,Après-midi,Canada,2
360,FLAIR AIRLINE,Moyen,Matin,Canada,24
361,WESTJET ENCORE LTD.,Court,Soir,International,26
362,JAZZ AVIATION LP,Moyen,Nuit,Canada,3
363,CARGOJET AIRWAYS LTD.,Court,Soir,Canada,10
364,AIRSPRINT INC.,Moyen,Matin,Canada,3
365,JAZZ AVIATION LP,Long,Matin,Canada,2
366,AIR TRANSAT,Court,Nuit,Quebec,7
367,SUNWING AIRLINES INC.,Long,Soir,Canada,4
368,WESTJET,Moyen,Matin,Quebec,72
369,SUNWING AIRLINES INC.,Long,Nuit,Quebec,10
370,BANK OF UTAH TRUSTEE,Court,Nuit,Quebec,1
371,SKYSERVICE BUSINESS AVIATION INC.,Moyen,Nuit,Canada,2
372,BANK OF UTAH TRUSTEE,Long,Matin,International,4
373,AIRSPRINT INC.,Moyen,Après-midi,Canada,1
374,WESTJET,Moyen,Matin,International,5
375,SUNWING AIRLINES INC.,Court,Matin,Quebec,9
376,WELLS FARGO TRUST CO NA TRUSTEE,Moyen,Nuit,International,19
377,SKY REGIONAL AIRLINES INC.,Moyen,Matin,Canada,65
378,SKY REGIONAL AIRLINES INC.,Moyen,Après-midi,Canada,69
379,AIR GEORGIAN LIMITED,Moyen,Après-midi,International,9
380,WESTJET,Moyen,Nuit,Canada,24
381,WESTJET,Moyen,Matin,Canada,24
382,WESTJET ENCORE LTD.,Moyen,Après-midi,International,1
383,WESTJET,Moyen,Nuit,Quebec,75
384,AIR TRANSAT,Moyen,Nuit,Canada,43
385,AIR TRANSAT,Moyen,Nuit,Quebec,34
386,WESTJET ENCORE LTD.,Court,Matin,Quebec,1
387,AIR TRANSAT,Moyen,Matin,Canada,31
388,AIR TRANSAT,Moyen,Matin,Quebec,31
389,REPUBLIC AIRWAYS INC,Court,Nuit,Canada,2
390,AIR FRANCE,Court,Nuit,Canada,1
391,PORTER AIRLINES INC.,Court,Nuit,International,3
392,SKY REGIONAL AIRLINES INC.,Moyen,Après-midi,Quebec,2
393,WELLS FARGO TRUST CO NA TRUSTEE,Moyen,Après-midi,International,6
394,WESTJET,Court,Après-midi,International,1
395,FLAIR AIRLINE,Moyen,Soir,International,1
396,AIR CANADA,Long,Matin,Canada,6
397,SKY REGIONAL AIRLINES INC.,Moyen,Matin,Quebec,2
398,PORTER AIRLINES INC.,Moyen,Après-midi,International,1
399,AIR CANADA,Long,Nuit,Canada,1
400,AIR TRANSAT,Long,Nuit,Quebec,2
401,FLAIR AIRLINE,Moyen,Nuit,International,2
402,FLAIR AIRLINE,Moyen,Après-midi,Quebec,45
403,FLAIR AIRLINE,Moyen,Soir,Quebec,38
404,FLAIR AIRLINE,Moyen,Matin,Quebec,1
405,AIR TRANSAT,Court,Après-midi,Quebec,5
406,SKYSERVICE BUSINESS AVIATION INC.,Moyen,Nuit,Quebec,1
407,WELLS FARGO TRUST CO NA TRUSTEE,Long,Après-midi,International,1
408,SUNWING AIRLINES INC.,Court,Nuit,Quebec,1
409,AUTRES,Long,Nuit,Canada,1
410,AIRSPRINT INC.,Moyen,Soir,Canada,1
411,FLAIR AIRLINE,Moyen,Nuit,Quebec,2
412,SUNWING AIRLINES INC.,Moyen,Après-midi,Canada,3
413,WESTJET ENCORE LTD.,Court,Nuit,Quebec,1
414,AIRSPRINT INC.,Long,Matin,Canada,1
415,REPUBLIC AIRWAYS INC,Court,Après-midi,Canada,1
416,REPUBLIC AIRWAYS INC,Court,Soir,Canada,1
417,WELLS FARGO TRUST CO NA TRUSTEE,Long,Soir,International,2
418,SUNWING AIRLINES INC.,Long,Nuit,International,1
419,SKYSERVICE BUSINESS AVIATION INC.,Court,Nuit,Quebec,1
420,SUNWING AIRLINES INC.,Moyen,Après-midi,Quebec,1
421,SUNWING AIRLINES INC.,Moyen,Soir,Canada,1
422,SUNWING AIRLINES INC.,Moyen,Soir,Quebec,2
423,AUTRES,Long,Soir,Quebec,2
424,WESTJET ENCORE LTD.,Moyen,Matin,International,2
425,AIR FRANCE,Court,Soir,Quebec,2
426,WESTJET ENCORE LTD.,Long,Matin,International,1
