,airportIn,airportOut,company,number
135,CYMX,CYHM,Jazz Aviation Lp,142
136,CYWG,CYUL,Jazz Aviation Lp,142
137,CYQY,CYUL,Jazz Aviation Lp,137
138,CYUL,KDFW,Others,245
139,CYUL,CNV9,Air Canada Rouge Lp,137
140,CYUL,CYQY,Jazz Aviation Lp,136
141,CYUL,KHPN,Others,256
142,CYUL,DAAG,Others,271
143,CYVR,CYUL,Air Transat A T Inc.,135
144,CYTZ,CYUL,Others,135
145,CYUL,KFLL,Air Transat A T Inc.,257
146,CYMX,CYWG,Cargojet Airways Ltd.,134
147,CYUL,CYWG,Jazz Aviation Lp,134
148,CYUL,CYVR,Air Transat A T Inc.,132
149,CYUL,EGKK,Air Transat A T Inc.,193
150,CYUL,CYTZ,Others,127
151,CYUL,CYHZ,Others,126
152,CYMX,EGNX,Cargojet Airways Ltd.,124
153,CYUL,CYUL,Sunwing Airlines Inc.,124
154,CYHU,CYUL,Others,123
155,CYHZ,CYUL,Jazz Aviation Lp,120
156,CYUL,KDTW,Bank Of Utah Trustee,232
157,CYUL,LPPT,Air Transat A T Inc.,207
158,CYYG,CYUL,Air Canada Rouge Lp,117
159,CYUL,CYWG,Others,117
160,CYUL,LFPO,Others,218
161,CYHU,CSH5,Others,114
162,CYUL,LGAV,Air Canada,150
163,CZBF,CYUL,Jazz Aviation Lp,111
164,CYHM,CYMX,Others,110
165,CYUL,CYYC,Air Transat A T Inc.,108
166,CYWG,CYUL,Others,107
167,CYUL,KSEA,Air Canada,203
168,CYYZ,CTR6,Jazz Aviation Lp,106
169,CYYG,CYUL,Jazz Aviation Lp,106
170,CYRQ,CYHU,Others,106
171,CYUL,KPHL,Air Georgian Limited,208
172,CYYC,CYUL,Air Transat A T Inc.,104
173,CYEG,CYUL,Air Canada,104
174,CYUL,KIAD,Jazz Aviation Lp,205
175,CYUL,CTR6,Jazz Aviation Lp,102
176,CYHU,CSR3,Others,101
177,CYUL,LFML,Air Transat A T Inc.,174
178,CYUL,KBOS,Others,188
179,CYUL,KORD,Air Canada,192
180,CYUL,SBMT,Air Canada,98
181,CYUL,KDTW,Others,170
182,CYHU,CYRQ,Others,96
183,CYUL,KOPF,Others,171
184,CYYZ,CYUL,Skyservice Business Aviation Inc./skyservice Aviation D'affaires Inc.,95
185,CYUL,KCLT,American Airlines Inc,177
186,CYUL,GMMN,Air Canada,187
187,CYUL,CYQB,Jazz Aviation Lp,95
188,CNV9,CYYZ,Westjet Encore Ltd.,94
189,CYUL,LTFM,Others,165
190,CYHZ,CYUL,Flair Airlines Ltd,94
191,CYUL,KLAX,Others,184
192,CYUL,CYUY,Jazz Aviation Lp,92
193,CYUL,KDTW,Wells Fargo Trust Co Na Trustee,178
194,CYHZ,CYUL,Westjet Encore Ltd.,90
195,CYUL,CYYZ,Skyservice Business Aviation Inc./skyservice Aviation D'affaires Inc.,90
196,CYUL,LPPT,Air Canada,157
197,CYUL,KATL,Others,174
198,CYHM,CYMX,Bank Of Utah Trustee,87
199,CYUL,KLGA,Jazz Aviation Lp,172
200,CYUL,EBMB,Air Canada,135
201,CYUL,KRDU,Jazz Aviation Lp,168
202,CYUL,KBED,Others,166
203,CYMX,KCVG,Cargojet Airways Ltd.,165
204,CYOW,CYHU,Others,84
205,CYUL,KMSP,Jazz Aviation Lp,155
206,CYXE,CYUL,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.,83
207,CYUL,LEBL,Air Canada,160
208,CYUL,CYYG,Jazz Aviation Lp,80
209,CYMX,CYHU,Others,79
210,CYTZ,CYHU,Others,79
211,CYUL,KMCO,Air Transat A T Inc.,155
212,CYUL,KDWH,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.,79
213,CNV9,CYTZ,Porter Airlines Inc.,78
214,CYHU,CYOW,Others,77
215,CYHU,CYTZ,Others,77
216,CYUL,CYHZ,Flair Airlines Ltd,77
217,CYUL,CYYZ,Jazz Aviation Lp,76
218,CYHU,CSM3,Others,76
219,CYUL,KLAS,Others,147
220,CYUL,LIRF,Air Transat A T Inc.,151
221,CYMX,CYHM,Cargojet Airways Ltd.,76
222,CYUL,EIDW,Air Canada,126
223,CYUL,CYHZ,Westjet Encore Ltd.,75
224,CYUL,KIAH,Jazz Aviation Lp,98
225,CYUL,KMIA,Air Transat A T Inc.,148
226,CYUL,CYUL,Air Canada Rouge Lp,74
227,CYUL,MPTO,Others,104
228,CYHU,KTEB,Others,115
229,CYUL,KEWR,Jazz Aviation Lp,142
230,CYYZ,CYUL,Jazz Aviation Lp,70
231,CYUL,CYUY,Others,70
232,CYUL,LFBD,Air Transat A T Inc.,138
233,CYHU,CSC3,Others,69
234,CYUL,LIMC,Air Canada,138
235,CYUL,KSFO,Others,132
236,CYUL,CYMX,Others,69
237,CYUL,LFBO,Air Transat A T Inc.,134
238,CYUL,CYYG,Air Canada Rouge Lp,68
239,CYYJ,CYUL,Air Canada Rouge Lp,67
240,CYUL,KMSP,Delta Air Lines,133
241,CYUL,CYHZ,Jazz Aviation Lp,67
242,CYUL,KTEB,Aviation Starlink Inc.,125
243,CYHU,CYSC,Others,66
244,CYUL,LEBL,Air Transat A T Inc.,131
245,CYMX,CYUL,Others,66
246,CYMX,KCVG,Others,126
247,CYUL,KCLT,Bank Of Utah Trustee,120
248,CYMX,CYHM,Others,65
249,CYUL,LFLL,Air Canada,95
250,CYUL,KTEB,Skyservice Business Aviation Inc./skyservice Aviation D'affaires Inc.,125
251,CYHU,CYMX,Others,63
252,CYUL,CCF4,Air Canada,63
253,CYUL,CYEG,Air Canada,62
254,CYUL,CYXE,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.,62
255,CYUL,KDCA,Air Canada,121
256,CYUL,CCY4,Air Canada,61
257,CYUL,EGKR,Air Transat A T Inc.,61
258,CNV9,CYUL,Others,61
259,CYUL,LLBG,Air Canada,114
260,CYHU,CNV9,Others,60
261,CYHM,CYUL,Aviation Starlink Inc.,60
262,CYSC,CYHU,Others,59
263,CYUL,CYYJ,Air Canada Rouge Lp,59
264,CYUL,MMUN,Air Transat A T Inc.,112
265,CYUL,KMIA,Bank Of Utah Trustee,114
266,CNV9,CYHU,Others,59
267,CYUL,KBUF,Others,106
268,CYVB,CYHU,Others,58
269,CYUL,LFHC,Air Canada,76
270,CYUL,KPBI,Others,86
271,CYUL,CYHM,Aviation Starlink Inc.,57
272,CYYZ,CTR6,Others,57
273,CYHU,CSJ4,Others,57
274,CYUL,LEMD,Air Transat A T Inc.,113
275,CZBM,CYUL,Others,55
276,CYJN,CYUL,Others,55
277,CYUL,KMSP,Others,94
278,CYUL,LEMG,Air Transat A T Inc.,82
279,CYUL,KIAD,Republic Airways Inc,96
280,CYMX,KPBG,Bank Of Utah Trustee,53
281,CYUL,2NC1,Others,52
282,CYOW,CYUL,Air Georgian Limited,52
283,CYXE,CYUL,Jazz Aviation Lp,52
284,CYUL,CYOW,Air Georgian Limited,51
285,CYUL,EHAM,Air Transat A T Inc.,102
286,CYUL,LFMN,Air Canada,94
287,CYUL,MMUN,Sunwing Airlines Inc.,91
288,CYMX,OA16,Cargojet Airways Ltd.,61
289,CYUL,CFQ7,Air Canada,50
290,CYUL,KLAX,Air Transat A T Inc.,96
291,CYUL,CNV9,Air Transat A T Inc.,50
292,CSR3,CYHU,Others,50
293,CYHU,CSZ4,Others,50
294,CYUL,KSAN,Air Canada,81
295,CNV9,KPHL,American Airlines Inc,49
296,CNV9,KEWR,Republic Airways Inc,49
297,CYUL,KIAD,Air Georgian Limited,96
298,CYZD,CYUL,Others,48
299,CYUL,LIPZ,Air Canada,95
300,CYUL,MMUN,Air Canada,88
301,CYUL,MDBG,Others,48
302,CYUL,MDBG,Air Canada Rouge Lp,48
303,CYUL,KEWR,Bank Of Utah Trustee,88
304,CYUL,KMDW,Others,91
305,CYMX,71KY,Cargojet Airways Ltd.,52
306,CYUL,KBNA,Sky Regional Airlines Inc. /lignes Aériennes Sky Regional Inc.,88
307,CYND,CYRO,Others,47
308,CYMX,CNV9,Others,46
309,CYUL,CYHM,Others,46
310,CYUL,MPMG,Others,46
