airport,freq,lon,lat,continent,country,sub,city
OA16,79,-146.62273668271538,200.732778156186,America,United States of America,Ohio,North Bend
KCSG,1,-281.240531218027,254.1567740774652,America,United States of America,Georgia,Columbus
KMSP,489,40.723385884894945,256.9652428726397,America,United States of America,Minnesota,Minneapolis
MI13,1,-2.792844196388545,184.55127956231527,America,United States of America,Michigan,Sheridan
31II,1,-161.53977472055257,216.2422276726064,America,United States of America,Indiana,Rising Sun
MMCZ,7,-349.3857686276603,243.6683257465951,America,Mexico,Quintana Roo,Cozumel
LHKE,2,240.15888961863726,17.946108450435,Europe,Hungary,Bacs-Kiskun,Kecskemet
LFHC,126,119.05042578422884,-129.7178219249916,Europe,France,Auvergne-Rhone-Alpes,Verdun
KFAF,2,-241.70962546385195,-18.94009588654916,America,United States of America,Virginia,Fort Eustis
OTBD,2,244.8559091680469,-39.34432080628166,Asia,Qatar,Baladiyat-ad-Dawḩah,Doha
SKBO,89,-208.21809737403174,-116.56514747666624,America,Colombia,Bogota-D-C-,Bogota
KHWV,2,-173.94343417404107,-114.5441885305406,America,United States of America,New York,Shirley
KGRB,21,64.52632970753446,205.6965744316624,America,United States of America,Wisconsin,Green Bay
95FD,9,-394.8743593119532,131.78465181243402,America,United States of America,Florida,La Belle
VT30,2,-102.53666408179727,15.397358671543124,America,United States of America,Vermont,Waitsfield
KJST,1,-166.24565331305934,69.35898093274572,America,United States of America,Pennsylvania,Johnstown
MMSM,1,-232.72419277866703,364.5413549950845,America,Mexico,Mexico,Reyes Acozac
KALO,1,7.417674462691765,278.3387236112147,America,United States of America,Iowa,Waterloo
KTPF,2,-274.58991556061676,186.94143510890592,America,United States of America,Florida,Tampa
KSEE,1,-25.452733496377757,391.3158981894612,America,United States of America,California,San Diego/El Cajon
VT22,1,-84.24948211452141,30.96461882137431,America,United States of America,Vermont,Shelburne
EDDF,865,165.56903792126653,16.98220770306652,Europe,Germany,Hesse,Frankfurt-am-Main
LEAL,1,25.02201244947351,-175.41124936223991,Europe,Spain,Valencia,Alicante
LFVP,3,-2.805986887258834,-130.15501600193858,America,Saint Pierre and Miquelon,,Saint-Pierre
EDXW,1,195.71737400664665,90.69030773482538,Europe,Germany,Schleswig-Holstein,Westerland
0VA9,1,-252.96014197411552,-41.59544383831697,America,United States of America,Virginia,Gloucester Court House
EETN,2,269.10575631578473,131.99733444678276,Europe,Estonia,Harjumaa,Tallinn
06TE,1,-208.31701119361657,286.98547657455947,America,United States of America,Texas,Cleveland
MDMA,27,-278.21809737403174,-106.56514747666624,America,Dominican Republic,La Altagracia,La Romana
LSZB,2,132.9982539660685,-64.6751803483941,Europe,Switzerland,Bern,Bern
KDCA,802,-188.66627033448066,-1.1049686297745605,America,United States of America,Dist. Of Columbia,Washington
EGSS,30,117.86396978237772,-12.275680368511344,Europe,United Kingdom,England,London
PN18,4,-93.9628417293691,114.41440539677994,America,United States of America,Pennsylvania,Fairview
6NY1,1,-134.88984321467316,59.09482717732629,America,United States of America,New York,Corning
KBTP,1,-169.63257675944533,96.34481613797486,America,United States of America,Pennsylvania,Butler
KPAE,1,121.42216722060859,330.071648187756,America,United States of America,Washington,Everett
NK08,1,-106.7268340816654,-91.65661213396504,America,United States of America,New York,High Falls
SKMA,5,-309.9156622341827,45.00838458044646,America,Colombia,Cundinamarca,Madrid
KT51,2,-182.81246400506825,323.12722577307,America,United States of America,Texas,Houston
KSWF,13,-132.87595733795402,-83.10755794962904,America,United States of America,New York,New York
KLOT,1,-51.700282494996635,295.2525466742238,America,United States of America,Illinois,Chicago/Romeoville
SBBP,3,-85.95474349511065,-221.29463285020628,America,Brazil,São Paulo,Braganca Paulista
MI23,1,23.619570086991093,180.4324273326415,America,United States of America,Michigan,Bridgeport
KSGJ,1,-267.5134814143529,118.1652278015371,America,United States of America,Florida,St Augustine
2NH5,1,-67.17384046204079,-29.632841727536768,America,United States of America,New Hampshire,Westmoreland
KNGU,1,-265.9006832938508,-61.862268006356544,America,United States of America,Virginia,Norfolk
LEMG,88,18.278657944348918,-230.2647082425349,Europe,Spain,Andalusia,Malaga
LFMY,4,93.84547052397573,-178.95700910846193,Europe,France,Provence-Alpes-Cote-d'Azur,Salon
TXKF,59,-231.45478814915725,-146.3735010179747,Atlantic,Bermuda,Saint-Georgeʼs,Hamilton
KRST,4,21.886698138924,253.35308933814468,America,United States of America,Minnesota,Rochester
LPBJ,5,7.1454970047201725,-216.2777500499681,Europe,Portugal,Beja,Beja
KHGR,5,-162.17014623792645,48.54891858481279,America,United States of America,Maryland,Hagerstown
KUES,4,9.767412003092012,233.9849100428817,America,United States of America,Wisconsin,Waukesha
KCHA,7,-203.82225914213308,227.53181680948765,America,United States of America,Tennessee,Chattanooga
15NC,1,-256.4473986204145,-16.383694215428566,America,United States of America,North Carolina,Ahoskie
MMUN,431,-329.1459782197041,251.02939657523493,America,Mexico,Quintana Roo,Cancun
