,airportIn,airportOut,company,number
220,CYHU,CSM3,OTHERS,76
222,CYHU,CYOW,OTHERS,76
223,CYMX,CYHM,CARGOJET AIRWAYS LTD.,76
225,CYUL,CYHZ,WESTJET ENCORE LTD.,75
230,CYUL,CYUY,OTHERS,70
231,CYYZ,CYUL,JAZZ AVIATION LP,70
233,CYHU,CSC3,OTHERS,69
235,CYYJ,CYUL,AIR CANADA,69
237,CYUL,CYMX,OTHERS,69
241,CYUL,CYHZ,JAZZ AVIATION LP,67
248,CYHU,CYSC,OTHERS,65
249,CYUL,CCF4,AIR CANADA,64
250,CYMX,CYHM,OTHERS,64
251,CYMX,CYUL,OTHERS,64
252,CYHU,CYMX,OTHERS,63
254,CYUL,CYXE,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,62
255,CYUL,CYEG,AIR CANADA,62
256,CNV9,CYUL,OTHERS,61
257,CYUL,CCY4,AIR CANADA,61
260,CYHM,CYUL,AVIATION STARLINK INC.,60
261,CYUL,CYYJ,AIR CANADA,60
262,CYHU,CNV9,OTHERS,60
264,CNV9,CYHU,OTHERS,59
268,CYVB,CYHU,OTHERS,58
269,CYSC,CYHU,OTHERS,58
271,CYHU,CSJ4,OTHERS,57
273,CYUL,CYHM,AVIATION STARLINK INC.,57
275,CYJN,CYUL,OTHERS,55
276,CYYZ,CTR6,OTHERS,55
277,CZBM,CYUL,OTHERS,53
281,CYXE,CYUL,JAZZ AVIATION LP,52
282,CYOW,CYUL,AIR GEORGIAN LIMITED,52
284,CYUL,CYOW,AIR GEORGIAN LIMITED,51
288,CYUL,CNV9,AIR TRANSAT,50
289,CSR3,CYHU,OTHERS,50
290,CYHU,CSZ4,OTHERS,50
294,CYUL,CFQ7,AIR CANADA,50
301,CYZD,CYUL,OTHERS,48
304,CYND,CYRO,OTHERS,47
310,CYYC,CYUL,FLAIR AIRLINE,46
314,CYMX,CNV9,OTHERS,46
315,CNV9,CYUL,AIR CANADA,45
316,CYUL,CYJN,OTHERS,45
319,CYUL,CZBM,OTHERS,44
320,CYHU,CES2,OTHERS,44
324,CNV9,CYHM,JAZZ AVIATION LP,43
326,CYHU,CYVB,OTHERS,42
327,CNV9,CYYZ,OTHERS,42
329,CYUL,CSN3,OTHERS,42
331,CYHU,CSY3,OTHERS,41
334,CYUL,CNV9,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,40
335,CYUL,CYYC,FLAIR AIRLINE,40
336,CYFJ,CYTZ,PORTER AIRLINES INC.,40
337,CYTZ,CYUL,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,39
340,CYUY,CYUL,AIR GEORGIAN LIMITED,39
342,CYYZ,CYQB,OTHERS,39
343,CYYZ,CTR6,WESTJET ENCORE LTD.,39
345,CYTZ,CYFJ,PORTER AIRLINES INC.,39
346,CZBM,CSR3,OTHERS,39
347,CYKZ,CYHU,OTHERS,38
351,CYUL,CYHM,OTHERS,37
352,CYMX,CYWG,OTHERS,37
353,CYYZ,CYUL,AVIATION STARLINK INC.,37
354,CYHU,CYKZ,OTHERS,37
355,CYUL,CYTZ,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,37
356,CYND,CYHU,OTHERS,37
357,CSR3,CZBM,OTHERS,36
358,CYMX,CTR6,OTHERS,36
359,CYQY,CYUL,AIR CANADA,36
360,CYUL,CYQY,AIR CANADA,36
362,CYRQ,CYUL,OTHERS,39
363,CYUL,CYQG,OTHERS,36
364,CSC3,CYHU,OTHERS,36
365,CYUL,CCF4,PORTER AIRLINES INC.,35
368,CYUL,CYKF,OTHERS,34
370,CYYZ,CYQB,JAZZ AVIATION LP,34
371,CYYZ,CYQB,WESTJET ENCORE LTD.,34
374,CZBM,CSQ3,OTHERS,34
375,CYYC,CYQB,AIR CANADA,34
376,CYUL,CYRQ,OTHERS,37
378,CYMX,CSZ3,OTHERS,33
380,CYWG,CYMX,OTHERS,33
382,CYKF,CYUL,OTHERS,32
383,CNV9,CYYZ,JAZZ AVIATION LP,32
384,CYHU,CNL3,OTHERS,32
385,CYHM,CYUL,OTHERS,32
388,CYUL,CYOO,OTHERS,32
389,CYUL,CSK5,JAZZ AVIATION LP,31
392,CYQG,CYUL,OTHERS,30
393,CYOO,CYMX,BANK OF UTAH TRUSTEE,30
394,CYUL,CSZ3,OTHERS,30
395,CNL3,CYHU,OTHERS,30
397,CYMX,CSA2,OTHERS,29
398,CYHU,CSG3,OTHERS,29
399,CSG3,CSM5,OTHERS,29
400,CYHU,CYND,OTHERS,29
401,CYHU,CSE4,OTHERS,29
402,CYUL,CYYZ,AVIATION STARLINK INC.,29
404,CYSC,CZBM,OTHERS,28
405,CYEG,CYUL,OTHERS,28
407,CSZ3,CSA2,OTHERS,28
408,CYTZ,CTR6,PORTER AIRLINES INC.,28
409,CYRO,CYND,OTHERS,28
412,CYRQ,CYMX,OTHERS,28
413,CYYG,CYUL,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,28
418,CYMX,CYOO,BANK OF UTAH TRUSTEE,27
419,CSE4,CYHU,OTHERS,27
420,CYQB,CYYZ,AIR CANADA,27
421,CYOW,CTR6,OTHERS,27
422,CYHZ,CYMX,OTHERS,27
423,CYHU,CSQ3,OTHERS,27
424,CYUL,CYKZ,OTHERS,27
428,CYRQ,CYYZ,AIR CANADA,26
429,CYUL,CYUL,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,26
431,CYUL,CSJ4,OTHERS,32
432,CYUL,CNV9,AIR GEORGIAN LIMITED,26
433,CSE4,CYCC,OTHERS,26
434,CSY3,CYHU,OTHERS,26
436,CYUL,CCY4,PORTER AIRLINES INC.,26
437,CYUL,CYYT,JAZZ AVIATION LP,25
438,CYND,CSC3,OTHERS,25
439,CYHZ,CYMX,CARGOJET AIRWAYS LTD.,25
440,CYUL,CCY4,JAZZ AVIATION LP,25
442,CYHU,CYOO,OTHERS,25
446,CNV9,CYVR,AIR CANADA,25
447,CYMX,CSJ4,OTHERS,25
448,CYUL,CTR6,AIR TRANSAT,25
451,CSB3,CYSC,OTHERS,24
453,CYQB,CYUL,AIR CANADA,24
454,CYUL,CCF4,JAZZ AVIATION LP,24
455,CYUL,CYVR,WESTJET,24
457,CYCC,CSE4,OTHERS,24
458,CYLW,CYUL,AIR CANADA,24
459,CYOO,CYUL,OTHERS,24
460,CYUL,CCY4,OTHERS,24
461,CYVR,CYUL,WESTJET,24
462,CSA2,CSZ3,OTHERS,24
463,CSG3,CYHU,OTHERS,24
464,CYTZ,CYQB,PORTER AIRLINES INC.,23
469,CYUL,CYOW,SUNWING AIRLINES INC.,23
470,CYOW,CYUL,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,23
471,CYUL,CSJ5,OTHERS,23
472,CSA2,CLA2,OTHERS,23
473,CSA2,CYMX,OTHERS,23
474,CYOW,CYUL,SUNWING AIRLINES INC.,23
475,CYHU,CSB3,OTHERS,23
477,CYHU,CSK4,OTHERS,22
479,CYJN,CZBM,OTHERS,22
480,CSA2,CSJ4,OTHERS,22
482,CYUL,CTR6,SUNWING AIRLINES INC.,22
483,CYUL,CYKZ,AVIATION STARLINK INC.,22
484,CYHU,CSU3,OTHERS,22
485,CNV9,CYYC,AIR CANADA,22
486,CYMX,CSY3,OTHERS,22
487,CYHU,CYJN,OTHERS,22
489,CYOO,CYHU,OTHERS,22
490,CYUL,CYUL,AVIATION STARLINK INC.,22
491,CYUL,CYQB,AIR TRANSAT,21
494,CZBM,CYSC,OTHERS,21
498,CYVR,CYQB,AIR CANADA,21
500,CYMX,CYFJ,OTHERS,21
501,CSC3,CSR3,OTHERS,21
502,CYUL,CYUY,AIR GEORGIAN LIMITED,21
503,CYUL,CYOW,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,21
504,CYKZ,CYUL,OTHERS,21
507,CZBM,CYJN,OTHERS,21
510,CYMX,CSY4,OTHERS,20
514,CYGK,CYUL,OTHERS,20
516,CYYC,CTR6,AIR CANADA,20
517,CYJN,CYHU,OTHERS,20
518,CSA2,CSY4,OTHERS,20
520,CYKZ,CYND,OTHERS,20
521,CYSC,CSC3,OTHERS,20
522,CYHZ,CYHU,OTHERS,20
523,CYUL,CTR6,SKYSERVICE BUSINESS AVIATION INC./SKYSERVICE AVIATION D'AFFAIRES INC.,20
524,CYUL,CNV9,AVIATION STARLINK INC.,20
525,CSB3,CYHU,OTHERS,20
526,CYMX,CZBM,OTHERS,20
527,CSC3,CYSC,OTHERS,20
528,CNV9,CYOW,OTHERS,20
529,CYUL,CYXE,JAZZ AVIATION LP,20
531,CYUL,CSR3,OTHERS,24
533,CYQB,CYUL,OTHERS,20
535,CYOW,CYUL,AIRSPRINT INC.,19
536,CNV9,CYMX,OTHERS,19
537,CYKF,CYUL,FLAIR AIRLINE,19
539,CYUL,CYYT,AIR CANADA,19
540,CSU3,CYHU,OTHERS,19
541,CSJ4,CYHU,OTHERS,19
543,CSG3,CYMX,OTHERS,19
544,CSB3,CSC3,OTHERS,19
545,CYUL,CTE5,OTHERS,19
546,CYCC,CST3,OTHERS,19
547,CYUL,CYFJ,OTHERS,19
548,CSY3,CSA2,OTHERS,19
549,CPR2,CST3,OTHERS,19
550,CSC3,CYND,OTHERS,19
552,CYUL,CNV9,SUNWING AIRLINES INC.,19
554,CYUL,CCF4,OTHERS,18
555,CYUL,CTR6,AIR GEORGIAN LIMITED,18
559,CYVR,CTR6,AIR CANADA,18
560,CYHU,CCP3,OTHERS,18
561,CYUL,CYUL,SKY REGIONAL AIRLINES INC. /LIGNES AÉRIENNES SKY REGIONAL INC.,18
562,CYMX,CSG3,OTHERS,18
563,CYCC,CDD3,OTHERS,18
564,CSC3,CSQ3,OTHERS,18
565,CYEG,CYUL,FLAIR AIRLINE,18
566,CYYZ,CYMX,AIR CANADA,18
567,CYUL,CEQ3,AIR CANADA,18
568,CSM3,CYHU,OTHERS,18
569,CYUL,CYKF,FLAIR AIRLINE,17
572,CNV9,CYUL,JAZZ AVIATION LP,17
573,CYND,CYKZ,OTHERS,17
576,CSQ3,CSC3,OTHERS,17
580,CYMX,CYHZ,OTHERS,17
581,CYHU,CYYZ,AIRSPRINT INC.,17
582,CYOW,CYQB,OTHERS,17
584,CYOW,CYMW,OTHERS,17
585,CCV4,CYUL,JAZZ AVIATION LP,17
586,CYHU,CYMW,OTHERS,17
587,CYKZ,CYUL,AVIATION STARLINK INC.,17
589,CYMX,CYTZ,OTHERS,17
590,CYUL,CYSC,OTHERS,17
591,CYHU,CNN8,OTHERS,17
593,CZBM,CSC3,OTHERS,16
595,CYMX,CYRO,OTHERS,16
596,CYUL,CYGP,OTHERS,16
598,CYUL,CSE4,OTHERS,16
599,CYUL,CYQG,FLAIR AIRLINE,16
601,CYHU,CYRO,OTHERS,16
602,CSZ3,CYMX,OTHERS,16
604,CSU3,CZBM,OTHERS,16
605,CYQG,CYUL,FLAIR AIRLINE,16
606,CZBM,CYMX,OTHERS,16
608,CZBM,CSU3,OTHERS,16
610,CYJN,CSA2,OTHERS,16
611,CSZ3,CYUL,OTHERS,16
615,CST3,CYCC,OTHERS,16
616,CYQY,CYUL,OTHERS,16
617,CYUL,CSK5,OTHERS,16
618,CSC3,CSB3,OTHERS,16
619,CSB3,CSY3,OTHERS,15
620,CYSC,CSB3,OTHERS,15
621,CYRQ,CSB3,OTHERS,15
622,CYUL,CNN8,OTHERS,15
623,CYHU,CST7,AIR GEORGIAN LIMITED,15
624,CYUL,CYEG,OTHERS,15
